protocol,baseline,method,paired_runs,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses,jointly_solved,geomean_node_speedup_joint
production-scip,random,rl-mlp,0,,,,0,0,0,0,
production-scip,random,rl-gcnn,0,,,,0,0,0,0,
