event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,12,22,t_m_5_2,0.0019999999999996505,0.0019999999999996505,-39.735080718994141,0.099318070999999994,0.117458835,true,branched,
1,2,1,48,8,13,t_m_3_1,0.0020000000000000018,0.0020000000000000018,-39.843051910400391,1.125420665,1.146766862,true,branched,
2,4,2,45,6,9,t_m_2_1,0.00050000000000016698,0.00050000000000016698,-39.929275512695312,1.419555989,1.4378730879999999,true,branched,
3,6,3,44,3,5,t_m_1_1,0.0015000000000000568,0.0015000000000000568,-40.062992095947266,0.0047645159999999999,0.024520647999999999,true,branched,
4,8,4,40,6,17,t_m_4_1,0.0015000000000000568,0.0015000000000000568,-40.136203765869141,0.0044994889999999997,0.022373273999999999,true,branched,
5,10,5,40,0,1,t_m_0_1,0.0015000000000000568,0.0015000000000000568,-40.239109039306641,0.0044805679999999999,0.022202673999999999,true,branched,
6,12,6,37,6,18,t_m_4_2,0.5,0.5,-40.427188873291016,0.0044802410000000003,0.022194360999999999,true,branched,
7,14,7,45,5,7,t_m_1_3,0.00093333333333306401,0.00093333333333306401,-40.444805145263672,0.0044923690000000004,0.022232914999999999,true,branched,
