1,F0001,T204-X08,M63,370
2,F0001,M60,M59,60
3,F0001,M70,M71,80
4,F0001,M71,T504-X07,280
5,F0001,T204-X13,M63,310
6,F0001,M107,T505-X06G,260
7,F0001,T204-X14,M63,310
8,F0001,M109,T505-X01,250
9,F0001,T204-X12,M63,260
10,F0001,M107,M108,80
11,F0001,M108,T505-X05G,260
12,F0001,T204-X15,M62,250
13,F0001,M109,M110,80
14,F0001,M110,T505-X02,250
15,F0001,B01-X01,M3,410
16,F0001,M146,T201-X01,370
17,F0001,B01-X02,M3,450
18,F0001,M146,T201-X02,360
19,F0001,B01-X03,M4,410
20,F0001,M4,M3,180
21,F0001,M146,T201-X03,330
22,F0001,B01-X04,M4,440
23,F0001,M146,T201-X04,370
24,F0001,B01-X08,M3,460
25,F0001,M146,M147,160
26,F0001,M147,T201-X08,350
27,F0001,B01-X12,M4,530
28,F0001,M147,T201-X12,330
29,F0001,B01-X07,M3,490
30,F0001,M146,T201-X07,420
31,F0001,B01-X16,M3,560
32,F0001,M147,T201-X16,380
33,F0001,B01-X05,M4,490
34,F0001,M146,T201-X05,380
35,F0001,B01-X06,M4,460
36,F0001,M146,T201-X06,400
37,F0001,B01-X15,M3,590
38,F0001,M147,T201-X15,410
39,F0001,B01-X11,M4,510
40,F0001,M147,T201-X11,380
41,F0001,B01-X09,M3,510
42,F0001,M147,T201-X09,290
43,F0001,B01-X18,M3,640
44,F0001,M147,T201-X18,420
45,F0001,B01-X20,M4,630
46,F0001,M147,T201-X20,400
47,F0001,B01-X17,M3,610
48,F0001,M147,T201-X17,440
49,F0001,B01-X14,M4,560
50,F0001,M147,T201-X14,410
51,F0001,B01-X19,M4,610
52,F0001,M147,T201-X19,410
53,F0001,B01-X13,M4,580
54,F0001,M147,T201-X13,400
55,F0001,B01-X10,M3,540
56,F0001,M147,T201-X10,370
57,F0001,B02-X20,M16,640
58,F0001,M22,T202-X20,390
59,F0001,B02-X14,M17,590
60,F0001,M17,M16,90
61,F0001,M22,T202-X14,370
62,F0001,B02-X19,M17,640
63,F0001,M22,T202-X19,370
64,F0001,B02-X13,M16,590
65,F0001,M22,T202-X13,380
66,F0001,T204-X05,M64,350
67,F0001,M70,T504-X06G,290
68,F0001,T255-X03,M11,430
