event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,733,598,1287,t_z_526_525_1,z,0.999,0.999,-25.088409423828125,1,-24.588409423828125,-26.6256690057856,1.1075996898712521,-32.63037109375,-25.088409423828125,0.0063343048095703125,root_z,0.5,1e+20,2.9341100000000035,1e+20,12769,1,0.024489245,0.725746208,0.75079508500000003,true,branched,
1,3,1,732,593,1279,t_z_525_524_1,z,0.998,0.998,-25.004045486450195,0,-25.004045486450195,-26.566628875628194,1.1854332101610776,-33.809547424316406,-25.004045486450195,0.05452728271484375,root_z,0.5,1e+20,2.9341100000000035,1e+20,12775,2,0.023439689999999999,0.697475242,0.72092069800000003,true,branched,
2,5,2,731,528,1161,t_z_504_127_2,z,0.999,0.999,-25.027799606323242,0,-25.027799606323242,-26.534380298306612,1.1772427861154915,-33.765213012695312,-25.027799606323242,0.010211944580078125,root_z,0.5,1e+20,2.9341100000000035,1e+20,12777,3,0.024251877000000002,0.68445553800000003,0.70871358100000004,true,branched,
3,7,3,730,277,591,t_z_152_133_1,z,0.99945238095238098,0.99945238095238098,-25.018966674804688,0,-25.018966674804688,-26.511014240735197,1.168224905075453,-33.726882934570312,-25.018966674804688,0.0052337646484375,root_z,0.5,1e+20,2.9341100000000035,1e+20,12779,4,0.023721137999999999,0.68882351200000003,0.71255086899999998,true,branched,
4,9,4,728,660,1431,t_z_525_137_1,z,0.999,0.999,-25.00701904296875,0,-25.00701904296875,-26.493724629119203,1.158899098447232,-33.691028594970703,-25.00701904296875,0.004779815673828125,root_z,0.5,1e+20,2.9341100000000035,1e+20,12780,5,0.023409508999999998,0.604193855,0.62760911399999997,true,branched,
5,11,5,727,260,559,t_z_137_136_1,z,0.99866666666666648,0.99866666666666648,-24.951000213623047,0,-24.951000213623047,-26.483395391514083,1.148058220171275,-33.659393310546875,-24.951000213623047,0.0595550537109375,root_z,0.5,1e+20,2.9341100000000035,1e+20,12781,6,0.023323123000000001,0.68869939099999999,0.71202893499999997,true,branched,
6,13,6,725,508,1118,t_z_508_518_1,z,0.9986666666666667,0.9986666666666667,-25.019643783569336,0,-25.019643783569336,-26.484497617524244,1.137286875635759,-33.635044097900391,-25.019643783569336,0.0051975250244140625,root_z,0.5,1e+20,2.9341100000000035,1e+20,12783,7,0.023934529,0.69164044300000005,0.71558094699999997,true,branched,
7,15,7,723,522,1159,t_z_504_127_1,z,0.99942857142857144,0.99942857142857144,-25.036306381225586,0,-25.036306381225586,-26.487595554209349,1.12670822911238,-33.610721588134766,-25.036306381225586,0.0008697509765625,root_z,0.5,1e+20,2.9341100000000035,1e+20,12784,8,0.024300931000000001,0.599470222,0.623776785,true,branched,
8,17,8,722,531,1182,t_z_507_512_1,z,0.999,0.999,-25.054521560668945,0,-25.054521560668945,-26.492223824160252,1.1151443075810454,-33.584392547607422,-25.054521560668945,0.015413284301757812,root_z,0.5,1e+20,2.9341100000000035,1e+20,12785,9,0.023767501999999999,0.68977339100000001,0.713546978,true,branched,
9,19,9,717,492,1089,t_z_517_516_2,z,0.999,0.999,-25.093435287475586,0,-25.093435287475586,-26.498316614531408,1.1058686640142248,-33.563648223876953,-25.093435287475586,0.0004119873046875,root_z,0.5,1e+20,2.9341100000000035,1e+20,12791,10,0.023502045999999999,0.68816851099999998,0.71167606699999997,true,branched,
10,21,10,729,619,1327,t_z_495_230_1,z,0.99938888888888888,0.99938888888888888,-25.200077056884766,0,-25.200077056884766,-27.142806329190812,2.2803988691149661,-46.643520355224609,-25.200077056884766,0.020071029663085938,root_z,0.5,1e+20,2.9341100000000035,1e+20,12907,11,0.024384752999999999,0.61164554299999996,0.636036186,true,branched,
11,23,11,728,441,967,t_z_509_508_1,z,0.9996666666666667,0.9996666666666667,-25.241786956787109,0,-25.241786956787109,-27.153980459485734,2.2744981178043036,-46.624473571777344,-25.241786956787109,0.015913009643554688,root_z,0.5,1e+20,2.9341100000000035,1e+20,12911,12,0.024946084,0.69664821700000001,0.72160047900000002,true,branched,
12,25,12,726,258,539,t_z_133_132_3,z,0.999,0.999,-25.279998779296875,0,-25.279998779296875,-27.162123582908272,2.2699677919176966,-46.602767944335938,-25.279998779296875,0.0013904571533203125,root_z,0.5,1e+20,2.9341100000000035,1e+20,12915,13,0.024260708999999998,0.70415476399999999,0.72842155399999997,true,branched,
13,27,13,725,263,551,t_z_136_135_1,z,0.996,0.996,-25.290281295776367,0,-25.290281295776367,-27.170114019985856,2.2647523208448552,-46.582958221435547,-25.290281295776367,0.033599853515625,root_z,0.5,1e+20,2.9341100000000035,1e+20,12917,14,0.024165122000000001,0.69589607399999998,0.72006682499999997,true,branched,
14,29,14,723,377,851,t_z_499_3_3,z,0.99933333333333341,0.99933333333333341,-25.347311019897461,0,-25.347311019897461,-27.180685423221824,2.2608207357993924,-46.565975189208984,-25.347311019897461,0.0048885345458984375,root_z,0.5,1e+20,2.9341100000000035,1e+20,12919,15,0.024447212999999999,0.69657192599999995,0.72102486600000004,true,branched,
15,31,15,721,510,1127,t_z_518_413_1,z,0.997,0.997,-25.366649627685547,0,-25.366649627685547,-27.186538873532278,2.2571809368152338,-46.546310424804688,-25.366649627685547,0.00801849365234375,root_z,0.5,1e+20,2.9341100000000035,1e+20,12920,16,0.023897397000000001,0.65288304799999997,0.67678638800000002,true,branched,
16,33,16,713,562,1247,t_z_505_152_1,z,0.99938888888888888,0.99938888888888888,-25.390281677246094,0,-25.390281677246094,-27.16278387553896,2.1835078007796223,-46.526721954345703,-25.390281677246094,0.0060882568359375,root_z,0.5,1e+20,2.9341100000000035,1e+20,12922,17,0.024718302000000001,0.68553829399999999,0.71026236099999995,true,branched,
17,34,17,719,292,638,t_z_132_152_1,z,0.999,0.999,-25.397556304931641,0,-25.397556304931641,-27.255000428795316,2.2708561426315721,-46.575824737548828,-25.397556304931641,0.001255035400390625,root_z,0.5,1e+20,2.9341100000000035,1e+20,13003,18,0.023892446000000001,0.66307856099999996,0.68697702599999999,true,branched,
18,37,18,718,292,639,t_z_152_132_1,z,0.998,0.998,-25.280975341796875,0,-25.280975341796875,-27.258501934805953,2.2670286693279174,-46.557506561279297,-25.280975341796875,0.16127967834472656,root_z,0.5,1e+20,2.9341100000000035,1e+20,13004,19,0.023584184000000001,0.68942964699999998,0.71301950800000002,true,branched,
19,38,19,717,250,526,t_z_131_132_1,z,0.99899999999999989,0.99899999999999989,-25.415098190307617,0,-25.415098190307617,-27.261129036109317,2.2637728911841553,-46.540496826171875,-25.415098190307617,0.01043701171875,root_z,0.5,1e+20,2.9341100000000035,1e+20,13006,20,0.024257338,0.68238539099999995,0.70664834700000001,true,branched,
20,41,20,714,250,527,t_z_132_131_1,z,0.998,0.998,-25.432661056518555,0,-25.432661056518555,-27.267349630510772,2.2614898609330765,-46.523189544677734,-25.432661056518555,0.01537322998046875,root_z,0.5,1e+20,2.9341100000000035,1e+20,13007,21,0.023738375999999999,0.62793529299999995,0.65167907599999997,true,branched,
21,42,21,713,422,959,t_z_508_507_1,z,0.99849999999999994,0.99849999999999994,-25.391948699951172,0,-25.391948699951172,-27.224275209124592,2.2608349253236848,-46.477157592773438,-25.391948699951172,0.0242919921875,root_z,0.5,1e+20,2.9341100000000035,1e+20,13020,23,0.023240200999999999,0.66512878200000003,0.68837393999999996,true,branched,
22,45,22,711,637,1417,t_z_517_500_2,z,0.999,0.999,-25.420812606811523,0,-25.420812606811523,-27.222191634895765,2.2579043769422982,-46.461551666259766,-25.420812606811523,0.0095615386962890625,root_z,0.5,1e+20,2.9341100000000035,1e+20,13023,24,0.023196857000000001,0.65242752400000004,0.67563004999999998,true,branched,
23,47,23,709,637,1419,t_z_517_500_3,z,0.99875000000000003,0.99875000000000003,-25.442995071411133,0,-25.442995071411133,-27.228267696579689,2.2559280542873319,-46.451385498046875,-25.442995071411133,0.00106048583984375,root_z,0.5,1e+20,2.9341100000000035,1e+20,13024,25,0.023416527999999999,0.67471956600000005,0.69814103400000005,true,branched,
24,48,24,711,573,1283,t_z_525_524_3,z,0.999,0.999,-25.465644836425781,0,-25.465644836425781,-27.2424287272908,2.2518643870660497,-46.45098876953125,-25.465644836425781,0.034114837646484375,root_z,0.5,1e+20,2.9341100000000035,1e+20,13030,26,0.023286910000000001,0.67439922799999996,0.69769157400000004,true,branched,
25,50,25,711,605,1350,t_z_521_529_1,z,0.99849999999999994,0.99849999999999994,-25.511608123779297,0,-25.511608123779297,-27.248936311102113,2.2496094953143708,-46.448486328125,-25.511608123779297,0.00682830810546875,root_z,0.5,1e+20,2.9341100000000035,1e+20,13033,27,0.023282304,0.59447085799999999,0.61775894799999997,true,branched,
