event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,395,184,591,t_z_152_133_1,z,0.40158442516897991,0.40158442516897991,-27.928583145141602,1,-27.428583145141602,-30.414299803142306,3.677098656703258,-63.635597229003906,-27.674823760986328,0.0012683868408203125,prim,0.5,1e+20,2.934110000000004,1e+20,17207,1,0.018141655999999999,0.68770143399999994,0.71326399500000004,true,branched,
1,2,1,416,377,1409,t_z_515_230_2,z,0.28710775651163134,0.28710775651163134,-27.992355346679688,1,-27.492355346679688,-29.537579320944271,2.7882632814089643,-55.270339965820312,-27.599147796630859,0.045459747314453125,prim,0.5,1e+20,2.934110000000004,1e+20,17228,2,0.018297463,0.67788760999999997,0.703708212,true,branched,
2,4,2,418,402,1509,t_z_544_518_0,z,0.1908689293486342,0.1908689293486342,-27.970443725585938,1,-27.470443725585938,-29.488251663281016,2.7809654194170599,-55.219276428222656,-27.560026168823242,0.046010971069335938,prim,0.5,1e+20,2.934110000000004,1e+20,17232,3,0.018573748000000001,0.67920607200000005,0.70530522799999995,true,branched,
3,6,3,418,360,1332,t_z_285_495_0,z,0.1908689293486342,0.1908689293486342,-27.985712051391602,1,-27.485712051391602,-29.448420647799114,2.7792648004119682,-55.17083740234375,-27.522733688354492,0.045137405395507812,prim,0.5,1e+20,2.934110000000004,1e+20,17233,4,0.018608940000000001,0.68454696199999998,0.71067334999999998,true,branched,
4,9,4,417,281,1017,t_z_513_512_2,z,0.078274137301812624,0.078274137301812624,-27.989377975463867,1,-27.489377975463867,-29.418108709138647,2.7802826597978885,-55.127902984619141,-27.492618560791016,0.044162750244140625,prim,0.5,1e+20,2.934110000000004,1e+20,17237,5,0.018351689000000001,0.68369471199999998,0.70962693899999996,true,branched,
5,10,5,409,370,1408,t_z_230_515_2,z,0.29620132997891746,0.29620132997891746,-27.970668792724609,1,-27.470668792724609,-29.397737423773208,2.7971953421420817,-55.088062286376953,-27.467479705810547,0.043285369873046875,prim,0.5,1e+20,2.934110000000004,1e+20,17239,6,0.018692094999999999,0.68242194199999995,0.70863253900000001,true,branched,
6,13,6,408,374,1429,t_z_525_137_0,z,0.19320353493510045,0.19320353493510045,-27.962509155273438,1,-27.462509155273438,-29.377313066931332,2.7960200631297725,-55.051998138427734,-27.448492050170898,0.041963577270507812,prim,0.5,1e+20,2.934110000000004,1e+20,17241,7,0.018524593999999998,0.67448382399999995,0.70048609299999998,true,branched,
7,15,7,407,391,1508,t_z_518_544_0,z,0.19320353493510045,0.19320353493510045,-27.948152542114258,1,-27.448152542114258,-29.360880132389301,2.7957268930137702,-55.017925262451172,-27.435871124267578,0.041164398193359375,prim,0.5,1e+20,2.934110000000004,1e+20,17242,8,0.018448956999999998,0.66919933200000004,0.69513855400000002,true,branched,
8,17,8,406,233,829,t_z_496_1_0,z,0.19320353493510045,0.19320353493510045,-27.960792541503906,1,-27.460792541503906,-29.348936099724231,2.794918553459508,-54.986160278320312,-27.429561614990234,0.040393829345703125,prim,0.5,1e+20,2.934110000000004,1e+20,17243,9,0.018582313,0.67912939299999997,0.70515626200000003,true,branched,
9,18,9,406,291,1137,t_z_413_94_2,z,0.078013154969992143,0.078013154969992143,-28.030923843383789,1,-27.530923843383789,-29.343684962230363,2.7909337276332966,-54.963729858398438,-27.430721282958984,0.0396270751953125,prim,0.5,1e+20,2.934110000000004,1e+20,17244,10,0.018145532999999998,0.67171199000000004,0.697369452,true,branched,
10,20,10,485,399,1247,t_z_505_152_1,z,0.31302512042639241,0.31302512042639241,-28.041711807250977,1,-27.541711807250977,-30.144206422628816,3.3559063504262978,-56.4984130859375,-27.568740844726562,0.020441055297851562,prim,0.5,1e+20,2.934110000000004,1e+20,17350,11,0.018276705000000001,0.67368828800000002,0.699512299,true,branched,
11,22,11,515,298,828,t_z_1_496_0,z,0.15903050921019712,0.15903050921019712,-28.253400802612305,1,-27.753400802612305,-30.132991694478154,3.3303360791903169,-57.904407501220703,-27.630575180053711,0.025787353515625,prim,0.5,1e+20,2.934110000000004,1e+20,17402,12,0.018101659999999999,0.67268974000000004,0.698383219,true,branched,
12,25,12,503,484,1513,t_z_544_518_2,z,0.47023860293482772,0.47023860293482772,-28.086530685424805,1,-27.586530685424805,-30.16682255481394,3.3561825970588672,-57.836078643798828,-27.691730499267578,0.02663421630859375,prim,0.5,1e+20,2.934110000000004,1e+20,17468,13,0.018110496,0.66925347400000001,0.69488296400000005,true,branched,
13,27,13,486,417,1329,t_z_495_230_2,z,0.1710664004535237,0.1710664004535237,-28.390899658203125,1,-27.890899658203125,-30.251023241521889,3.3929526909874532,-57.831867218017578,-27.725526809692383,0.024890899658203125,prim,0.5,1e+20,2.934110000000004,1e+20,17498,14,0.018101998000000001,0.667368666,0.69300041999999995,true,branched,
