event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,27,1013,t_z_198_192_0,0.001999999999999873,0.001999999999999873,7.5009999999999998e-06,true,branched,
1,2,1,52,30,1021,t_z_199_198_0,0.0015000000000000568,0.0015000000000000568,3.0649999999999999e-06,true,branched,
2,4,2,52,37,1046,t_z_3_33_1,0.0020000000000000018,0.0020000000000000018,2.8370000000000001e-06,true,branched,
3,6,3,52,43,1108,t_z_15_18_0,0.49925000000000003,0.49925000000000003,2.7410000000000001e-06,true,branched,
4,8,4,54,32,1020,t_z_198_199_0,0.0015000000000000568,0.0015000000000000568,2.9720000000000001e-06,true,branched,
5,10,5,54,46,1111,t_z_18_15_1,0.0012500000000000289,0.0012500000000000289,2.819e-06,true,branched,
6,12,6,54,29,959,t_z_192_191_1,0.99849999999999994,0.99849999999999994,2.7829999999999999e-06,true,branched,
