event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason,source_file,method,instance_id,prim_score,extract_time_seconds
12,25,12,503,484,1513,t_z_544_518_2,z,0.4702386029348277,0.4702386029348277,-28.086530685424805,1.0,-27.586530685424805,-30.16682255481394,3.3561825970588672,-57.83607864379882,-27.691730499267575,0.0266342163085937,prim,0.5,1e+20,2.934110000000004,1e+20,17468,13,0.018110496,0.669253474,0.694882964,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.018110496
13,27,13,486,417,1329,t_z_495_230_2,z,0.1710664004535237,0.1710664004535237,-28.390899658203125,1.0,-27.890899658203125,-30.25102324152189,3.392952690987453,-57.83186721801758,-27.725526809692383,0.0248908996582031,prim,0.5,1e+20,2.934110000000004,1e+20,17498,14,0.018101998,0.667368666,0.69300042,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.018101998
0,1,0,733,569,1235,t_z_134_133_3,z,0.5,0.5,-25.37098503112793,1.0,-24.87098503112793,-26.6256690057856,1.107599689871252,-32.63037109375,-25.088409423828125,0.0063343048095703,prim,0.5,1e+20,2.9341100000000035,1e+20,12769,1,0.024742775,0.7186724009999998,0.751426299,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.024742775
1,2,1,733,249,533,t_z_133_132_0,z,0.4436289618987414,0.4436289618987414,-25.388315200805664,1.0,-24.888315200805664,-26.563111832164644,1.1855337238765062,-33.80643081665039,-25.049894332885746,0.0064868927001953,prim,0.5,1e+20,2.9341100000000035,1e+20,12770,2,0.023405688,0.684517139,0.71567448,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.023405688
2,5,2,732,566,1229,t_z_134_133_0,z,0.4436289618987414,0.4436289618987414,-25.3360538482666,1.0,-24.8360538482666,-26.529233961157455,1.1784647717202652,-33.76144027709961,-25.01874351501465,0.0064277648925781,prim,0.5,1e+20,2.9341100000000035,1e+20,12771,3,0.023761997,0.683426849,0.7151804809999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.023761997
3,7,3,729,383,865,t_z_501_500_2,z,0.1945804861717914,0.1945804861717914,-25.3658447265625,1.0,-24.8658447265625,-26.509292147287127,1.17170914406554,-33.72379302978516,-24.99736785888672,0.0068111419677734,prim,0.5,1e+20,2.9341100000000035,1e+20,12773,4,0.0236204549999999,0.6889521149999999,0.720377494,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.0236204549999999
4,9,4,726,378,857,t_z_500_499_2,z,0.1945804861717914,0.1945804861717914,-25.35983085632324,1.0,-24.85983085632324,-26.493641010000687,1.1632096187799874,-33.68863296508789,-24.98164939880371,0.0076351165771484,prim,0.5,1e+20,2.9341100000000035,1e+20,12775,5,0.023461806,0.6960214919999999,0.7274941849999998,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.023461806
5,10,5,730,255,541,t_z_135_134_0,z,0.4292582999384951,0.4292582999384951,-25.413406372070312,1.0,-24.913406372070312,-26.48717492508561,1.1501511225974668,-33.662899017333984,-24.98716354370117,0.0011482238769531,prim,0.5,1e+20,2.9341100000000035,1e+20,12784,6,0.0238716279999999,0.6823201399999999,0.7140298179999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.0238716279999999
6,13,6,729,538,1185,t_z_512_507_2,z,0.1818022407946628,0.1818022407946628,-25.441171646118164,1.0,-24.941171646118164,-26.48571381745515,1.1401721995506109,-33.637996673583984,-24.99176025390625,0.0023880004882812,prim,0.5,1e+20,2.9341100000000035,1e+20,12785,7,0.0238323629999999,0.674576905,0.7063322029999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.0238323629999999
7,15,7,734,571,1234,t_z_133_134_3,z,0.5,0.5,-25.468055725097656,1.0,-24.968055725097656,-26.49863698891788,1.1292690892758044,-33.62313461303711,-25.007232666015625,0.0202312469482421,prim,0.5,1e+20,2.9341100000000035,1e+20,12804,8,0.0234105029999999,0.678036653,0.7090868989999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.0234105029999999
8,17,8,733,719,1570,t_z_516_544_3,z,0.1293092698319241,0.1293092698319241,-25.580135345458984,1.0,-25.080135345458984,-26.503024664614728,1.1183758084827713,-33.59778594970703,-25.02169418334961,0.0218467712402343,prim,0.5,1e+20,2.9341100000000035,1e+20,12806,9,0.0232396669999999,0.676448849,0.707683087,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.0232396669999999
9,18,9,730,260,546,t_z_134_135_3,z,0.5,0.5,-25.66578865051269,1.0,-25.16578865051269,-26.514560030584462,1.1031644394771405,-33.5997200012207,-25.049854278564453,0.0200710296630859,prim,0.5,1e+20,2.9341100000000035,1e+20,12828,10,0.023757321,0.674268052,0.7059903819999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.023757321
10,21,10,745,375,831,t_z_496_1_1,z,0.2860392488169196,0.2860392488169196,-25.800687789916992,1.0,-25.300687789916992,-27.394623854976373,2.346871794027936,-44.23827362060546,-25.1837100982666,0.0241680145263671,prim,0.5,1e+20,2.9341100000000035,1e+20,12957,11,0.023389699,0.685648192,0.7170047619999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.023389699
11,23,11,749,306,636,t_z_132_152_0,z,0.0384148059014103,0.0384148059014103,-25.836902618408203,1.0,-25.336902618408203,-27.42222648182603,2.3392163608997043,-44.256439208984375,-25.21275329589844,0.0303249359130859,prim,0.5,1e+20,2.9341100000000035,1e+20,12973,12,0.023421744,0.6831826709999999,0.7142806929999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv,full-prim,real_01,1.0,0.023421744
0,1,0,395,328,1283,t_z_525_524_3,z,0.9989999999999998,0.9989999999999998,-27.674823760986328,0.0,-27.674823760986328,-30.414299803142303,3.677098656703258,-63.63559722900391,-27.674823760986328,0.0012683868408203,none,0.0,1e+20,2.934110000000004,1e+20,17207,1,0.018234084,0.684971738,0.7032102049999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.018234084
1,3,1,395,157,507,t_z_93_92_3,z,0.9979999999999996,0.9979999999999996,-27.63241958618164,0.0,-27.63241958618164,-29.57048670611804,2.846339068553815,-55.31155776977539,-27.63241958618164,0.0588741302490234,none,0.0,1e+20,2.934110000000004,1e+20,17209,2,0.018598831,0.6685188669999999,0.6871211999999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.018598831
2,5,2,394,379,1513,t_z_544_518_2,z,0.8618673843394135,0.8618673843394135,-27.651561737060547,0.0,-27.651561737060547,-29.53269201849923,2.8466000932825364,-55.25939178466797,-27.651561737060547,0.0128097534179687,none,0.0,1e+20,2.934110000000004,1e+20,17213,3,0.0181874729999999,0.6710274809999999,0.6892184319999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.0181874729999999
3,7,3,389,175,561,t_z_137_136_2,z,0.9111068324740174,0.9111068324740174,-27.63237953186035,0.0,-27.63237953186035,-29.5234461590686,2.8578328073652157,-55.22039413452149,-27.63237953186035,0.0225238800048828,none,0.0,1e+20,2.934110000000004,1e+20,17224,4,0.0188249189999999,0.6674734479999999,0.686302162,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.0188249189999999
