instance_id,method,depth,n_decisions,q_std_mean,q_std_median,margin_mean,lambda_prim_over_qstd_mean,prim_dominates_q_frac,frac_z,frac_m,frac_y,extract_s_mean,infer_s_mean,select_s_mean
real_01,full-prim,0,2,2.392349173287255,2.392349173287255,0.0038013458251953004,0.2937017023119706,0.0,1.0,0.0,0.0,0.021442215499999952,0.7031869174999998,0.732345147
real_01,full-prim,1,2,1.9868985026427353,1.9868985026427353,0.025973320007324198,0.3005370331055737,0.0,1.0,0.0,0.0,0.0208515755,0.6812023745,0.7096913460000001
real_01,full-prim,2,2,1.9797150955686624,1.9797150955686624,0.026219367980957,0.30203724892660694,0.0,1.0,0.0,0.0,0.0211678725,0.6813164604999999,0.7102428544999999
real_01,full-prim,3,2,1.975486972238754,1.975486972238754,0.0259742736816406,0.3033153770033464,0.0,1.0,0.0,0.0,0.021114697499999953,0.6867495384999999,0.7155254219999999
real_01,full-prim,4,2,1.971746139288938,1.971746139288938,0.0258989334106445,0.3048414843252852,0.0,1.0,0.0,0.0,0.020906747500000003,0.6898581019999999,0.7185605619999998
real_01,full-prim,5,2,1.9736732323697743,1.9736732323697743,0.022216796874999948,0.3067379787041365,0.0,1.0,0.0,0.0,0.0212818614999999,0.6823710409999999,0.7113311784999999
real_01,full-prim,6,2,1.9680961313401917,1.9680961313401917,0.0221757888793945,0.30867793131345395,0.0,1.0,0.0,0.0,0.021178478499999903,0.6745303645,0.7034091479999999
real_01,full-prim,7,2,1.9624979911447873,1.9624979911447873,0.030697822570800698,0.31080431559254185,0.0,1.0,0.0,0.0,0.0209297299999999,0.6736179925000001,0.7021127265
real_01,full-prim,8,2,1.9566471809711397,1.9566471809711397,0.031120300292968698,0.3129864995044903,0.0,1.0,0.0,0.0,0.02091098999999995,0.677789121,0.7064196745
real_01,full-prim,9,2,1.9470490835552186,1.9470490835552186,0.029849052429199198,0.31619654942622594,0.0,1.0,0.0,0.0,0.020951426999999953,0.6729900209999999,0.7016799169999999
real_01,full-prim,10,2,2.851389072227117,2.851389072227117,0.0223045349121093,0.1810203027240079,0.0,1.0,0.0,0.0,0.020833202000000002,0.67966824,0.7082585305
real_01,full-prim,11,2,2.8347762200450104,2.8347762200450104,0.028056144714355448,0.1819408964214947,0.0,1.0,0.0,0.0,0.02076170199999995,0.6779362055,0.7063319559999999
real_01,full-prim,12,1,3.3561825970588672,3.3561825970588672,0.0266342163085937,0.14897878334693898,0.0,1.0,0.0,0.0,0.018110496,0.669253474,0.694882964
real_01,full-prim,13,1,3.392952690987453,3.392952690987453,0.0248908996582031,0.1473642710457259,0.0,1.0,0.0,0.0,0.018101998,0.667368666,0.69300042
real_01,gcnn,0,2,2.392349173287255,2.392349173287255,0.0038013458251953004,0.0,0.0,1.0,0.0,0.0,0.0194947045,0.6581301609999999,0.6776291064999999
real_01,gcnn,1,2,2.0158861393574465,2.0158861393574465,0.05670070648193355,0.0,0.0,1.0,0.0,0.0,0.0203484995,0.635728077,0.656080392
real_01,gcnn,2,2,2.011921439699014,2.011921439699014,0.0115108489990234,0.0,0.0,1.0,0.0,0.0,0.02033398649999995,0.6450018195,0.665339791
real_01,gcnn,3,2,2.0130288562203345,2.0130288562203345,0.01387882232666015,0.0,0.0,1.0,0.0,0.0,0.0207050144999999,0.6444805275,0.665189874
real_01,gcnn,4,2,2.0203198539902343,2.0203198539902343,0.0186786651611328,0.0,0.0,1.0,0.0,0.0,0.0202058255,0.6338314775,0.6540413199999999
real_01,gcnn,5,2,2.0139916238494036,2.0139916238494036,0.031636238098144503,0.0,0.0,1.0,0.0,0.0,0.020093968499999948,0.6410196375,0.6611178630000001
real_01,gcnn,6,2,2.0084480533594435,2.0084480533594435,0.00538349151611325,0.0,0.0,1.0,0.0,0.0,0.020246473499999897,0.621509198,0.6417597504999999
real_01,gcnn,7,2,2.0025774277884416,2.0025774277884416,0.0059976577758789,0.0,0.0,1.0,0.0,0.0,0.0202851675,0.62190974,0.6421991025
real_01,gcnn,8,2,1.9959267680512136,1.9959267680512136,0.0114641189575195,0.0,0.0,1.0,0.0,0.0,0.019977153,0.6467334849999999,0.6667146275
real_01,gcnn,9,2,1.9905803086963894,1.9905803086963894,0.001957893371582,0.0,0.0,1.0,0.0,0.0,0.02002943549999995,0.6417877094999999,0.6618212259999998
real_01,gcnn,10,2,3.1956936216041028,3.1956936216041028,0.04669380187988275,0.0,0.0,1.0,0.0,0.0,0.01940629249999995,0.6513619719999999,0.6707731865
real_01,gcnn,11,2,3.1889368833984824,3.1889368833984824,0.008005142211914019,0.0,0.0,1.0,0.0,0.0,0.0202471624999999,0.642413488,0.6626648109999999
real_01,gcnn,12,2,3.1849504436240714,3.1849504436240714,0.0035400390624999497,0.0,0.0,1.0,0.0,0.0,0.02026171999999995,0.6210530055000001,0.6413191014999999
real_01,gcnn,13,2,3.1303032935354795,3.1303032935354795,0.0519933700561523,0.0,0.0,1.0,0.0,0.0,0.02027498749999995,0.645013053,0.6652927544999998
real_01,gcnn,14,2,3.1258429975015867,3.1258429975015867,0.038656234741210896,0.0,0.0,1.0,0.0,0.0,0.0203696225,0.6119901914999999,0.6323639635
real_01,gcnn,15,2,3.1213361394336756,3.1213361394336756,0.04299640655517575,0.0,0.0,1.0,0.0,0.0,0.020201881,0.6485628164999999,0.6687691464999999
real_01,gcnn,16,2,3.085562846780815,3.085562846780815,0.01362419128417965,0.0,0.0,1.0,0.0,0.0,0.02029214,0.636925763,0.6572221865
real_01,gcnn,17,2,3.162998947027808,3.162998947027808,0.02770423889160155,0.0,0.0,1.0,0.0,0.0,0.02044278799999995,0.6345425975000001,0.6549898579999999
real_01,gcnn,18,2,3.1544660848398625,3.1544660848398625,0.08423042297363276,0.0,0.0,1.0,0.0,0.0,0.02022095249999995,0.6455230139999999,0.6657481405000001
real_01,gcnn,19,2,3.197659577193524,3.197659577193524,0.02288341522216795,0.0,0.0,1.0,0.0,0.0,0.02028237749999995,0.640682671,0.660969019
real_01,gcnn,20,3,3.2644468361327132,3.289518963319072,0.05024528503417963,0.0,0.0,1.0,0.0,0.0,0.01965690633333333,0.6431647396666667,0.6628258256666667
real_01,gcnn,21,3,3.2684843906095757,3.291499233854273,0.05155626932779947,0.0,0.0,1.0,0.0,0.0,0.01970569999999997,0.6455906086666666,0.6653005033333332
real_01,gcnn,22,3,3.227952634201577,3.1581918399922686,0.0270010630289713,0.0,0.0,1.0,0.0,0.0,0.019852333333333336,0.6453830316666668,0.6652398213333334
real_01,gcnn,23,4,3.2839390542515527,3.326042239704081,0.01364278793334955,0.0,0.0,1.0,0.0,0.0,0.01931521075,0.6548875237499999,0.674206848
real_01,gcnn,24,5,3.4012527007057662,3.5131830152962262,0.0678829193115234,0.0,0.0,1.0,0.0,0.0,0.01952194279999998,0.6688159814,0.6883420335999999
real_01,gcnn,25,5,3.38698367673294,3.5134370918852524,0.04832077026367182,0.0,0.0,1.0,0.0,0.0,0.01924756539999996,0.6610041549999999,0.6802559236000001
real_01,gcnn,26,6,3.4923874981959515,3.671331692638148,0.0277318954467773,0.0,0.0,1.0,0.0,0.0,0.019298658333333284,0.6711166475,0.690419357
real_01,gcnn,27,6,3.634263768195062,3.890380031031761,0.0671895345052083,0.0,0.0,1.0,0.0,0.0,0.01922760149999997,0.6702578376666666,0.6894893591666666
real_01,gcnn,28,7,3.655732936213891,3.8463248065389815,0.025584357125418487,0.0,0.0,1.0,0.0,0.0,0.019240436428571397,0.6751237798571429,0.6943682694285714
real_01,gcnn,29,8,3.677457747948103,3.8478250974632573,0.0354542732238769,0.0,0.0,1.0,0.0,0.0,0.01921806874999999,0.6743009094999999,0.693523182625
real_01,gcnn,30,8,3.6447168192466743,3.79586046128872,0.050661802291870076,0.0,0.0,1.0,0.0,0.0,0.018887403749999962,0.67398965225,0.692881084375
real_01,gcnn,31,8,3.658143470086375,3.9133569388411313,0.055322408676147426,0.0,0.0,1.0,0.0,0.0,0.01886711349999995,0.6687246577499999,0.687595877625
real_01,gcnn,32,8,3.6597623328684943,3.909695750203926,0.022157430648803652,0.0,0.0,1.0,0.0,0.0,0.01875663837499996,0.665993277,0.684754131625
real_01,gcnn,33,7,3.613842443499466,3.956339766852396,0.046025412423270066,0.0,0.0,1.0,0.0,0.0,0.018985950714285698,0.6651253014285714,0.6841154862857142
real_01,gcnn,34,6,3.5579142594252366,3.8537642495772535,0.03679211934407548,0.0,0.0,1.0,0.0,0.0,0.01893532333333328,0.6664655926666666,0.6854049276666666
real_01,gcnn,35,5,3.501465756842385,3.9430743370935426,0.03552360534667964,0.0,0.0,1.0,0.0,0.0,0.019129944599999983,0.6628460485999998,0.6819802979999999
real_01,gcnn,36,4,3.3810440423897927,3.652085251654845,0.019748210906982373,0.0,0.0,1.0,0.0,0.0,0.01924231125,0.64488053475,0.6641268985000001
real_01,gcnn,37,3,3.3734025986138416,3.9280398187533585,0.08695920308430982,0.0,0.0,1.0,0.0,0.0,0.019505650666666634,0.6527872253333333,0.6722967249999999
real_01,gcnn,38,2,3.08948468744311,3.08948468744311,0.0160551071166992,0.0,0.0,1.0,0.0,0.0,0.02060759749999995,0.644418559,0.665030564
real_01,gcnn,39,2,3.103387701473454,3.103387701473454,0.0237274169921875,0.0,0.0,1.0,0.0,0.0,0.02031126499999995,0.6417055229999999,0.6620212609999999
real_01,gcnn,40,2,3.1533093163094597,3.1533093163094597,0.01183891296386715,0.0,0.0,1.0,0.0,0.0,0.019965125,0.6524194615,0.6723884689999999
real_01,gcnn,41,2,3.1521123427454807,3.1521123427454807,0.014132499694824151,0.0,0.0,1.0,0.0,0.0,0.020424346000000003,0.6435233255,0.6639520145
real_01,gcnn,42,2,3.1532331025735374,3.1532331025735374,0.06267261505126945,0.0,0.0,1.0,0.0,0.0,0.020123428999999998,0.657471704,0.6775996175
real_01,gcnn,43,2,3.151878111337572,3.151878111337572,0.033792495727539,0.0,0.0,1.0,0.0,0.0,0.02014301349999995,0.6555934405,0.675740909
real_01,gcnn,44,2,3.152740235883848,3.152740235883848,0.01411151885986325,0.0,0.0,1.0,0.0,0.0,0.020107467499999948,0.6435244514999999,0.663636055
real_01,gcnn,45,2,3.1213981282375607,3.1213981282375607,0.07895183563232415,0.0,0.0,1.0,0.0,0.0,0.0203237385,0.6295447024999999,0.6498730509999999
real_01,gcnn,46,2,3.1228748565907636,3.1228748565907636,0.03648567199707025,0.0,0.0,1.0,0.0,0.0,0.020233308,0.6509293764999999,0.6711669345
real_01,gcnn,47,2,3.126443459834145,3.126443459834145,0.0406646728515625,0.0,0.0,1.0,0.0,0.0,0.0203281884999999,0.6116184139999999,0.6319513935
real_01,gcnn,48,2,3.103611066718534,3.103611066718534,0.0676631927490234,0.0,0.0,1.0,0.0,0.0,0.020172218,0.6442689005,0.6644450665
real_01,gcnn,49,2,3.1064102818321233,3.1064102818321233,0.1030349731445312,0.0,0.0,1.0,0.0,0.0,0.020032923,0.6272618034999999,0.6472990715
real_01,gcnn,50,2,3.082478092476989,3.082478092476989,0.03144741058349605,0.0,0.0,1.0,0.0,0.0,0.02017250599999995,0.6499096704999999,0.6700867045000001
real_01,gcnn,51,2,3.0840917805328525,3.0840917805328525,0.01826190948486325,0.0,0.0,1.0,0.0,0.0,0.01995812299999995,0.6524995624999999,0.6724626309999999
real_01,gcnn,52,2,3.0857782720757942,3.0857782720757942,0.019918441772460847,0.0,0.0,1.0,0.0,0.0,0.020319134000000003,0.6499619699999999,0.6702856739999999
real_01,gcnn,53,2,3.0816865652365975,3.0816865652365975,0.20122623443603516,0.0,0.0,1.0,0.0,0.0,0.02058454999999995,0.6394943234999999,0.6600833779999999
