protocol,baseline,method,paired_runs,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses,jointly_solved,geomean_node_speedup_joint
controlled-bbmdp,random,rl-mlp,35,0.855533975946813,0.7683185904393218,0.9392726843426973,0,22,13,8,1.042956042188393
controlled-bbmdp,random,rl-gcnn,35,0.7929171093171136,0.6998181751418925,0.8938678023402158,0,22,13,9,1.039443385929725
production-scip,random,rl-mlp,35,0.9479811143044344,0.8358029764314121,1.0705353308057144,2,22,11,8,0.8630075196589916
production-scip,random,rl-gcnn,35,0.8963864632191486,0.7804047135707335,1.0113682753895783,2,22,11,11,0.9645416801500261
