method,runs,optimal_runs,timeout_runs,solved_rate,mean_wall_time,median_wall_time,mean_nodes,median_nodes,mean_final_gap,finite_gap_runs
default,9,3,6,0.3333333333333333,27.656577285666668,30.675639269,6.777777777777778,2.0,0.0,3
mostinf,9,3,6,0.3333333333333333,24.93974380122222,30.628003347,35.333333333333336,12.0,7.18714194926399e-06,5
random,9,3,6,0.3333333333333333,25.573381980555556,30.589124798,20.22222222222222,4.0,0.031639347801209,4
relpscost,9,3,6,0.3333333333333333,27.743926386777776,30.566156323,6.777777777777778,2.0,0.0,3
strong,1,1,0,1.0,10.884863147,10.884863147,18.0,18.0,0.0,1
