instance_id,method,seed,scip_version,status,objective,business_objective,primal_bound,dual_bound,final_gap,wall_clock_time,presolve_time,solving_time,solve_time_after_presolve,nodes,lp_iterations,primal_dual_integral,first_solution_time,number_of_variables,number_of_integer_variables,number_of_constraints,active_branching_rule,branchrule_calls,node_selection_rule,threads,time_limit,node_limit,has_solution,solution_feasible,return_code,json_path,log_path
6,relpscost,0,8.0.4,optimal,0.0093259,0.0097995,0.0093259,0.0093259,0,27.458596133,1.131079,27.028802,25.897723,29,7710,2702.5474,27.023699,20682,2708,48140,relpscost,29,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_6_relpscost_seed0.json,results/baseline/raw/instance_6_relpscost_seed0.log
6,random,0,8.0.4,optimal,0.0093259,0.0097995,0.0093259,0.0093259,0,11.982767041,1.133998,11.676597,10.542599,6,7585,1166.2768,11.660623,20682,2708,48140,random,6,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_6_random_seed0.json,results/baseline/raw/instance_6_random_seed0.log
6,mostinf,0,8.0.4,optimal,0.0093259,0.0097995,0.0093259,0.0093259,0,12.721190667,1.138772,12.345566,11.206794,59,7413,1233.6437,12.327342,20682,2708,48140,mostinf,50,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_6_mostinf_seed0.json,results/baseline/raw/instance_6_mostinf_seed0.log
7,default,0,8.0.4,time_limit,,,,0.0106134686000812,,30.523121935,2.110173,30.016938,27.906765,1,8868,3001.6929,,38100,3036,93965,relpscost,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_7_default_seed0.json,results/baseline/raw/instance_7_default_seed0.log
7,relpscost,0,8.0.4,time_limit,,,,0.0106134686000812,,30.566156323,2.091648,30.06184,27.970192,1,9164,3006.1837,,38100,3036,93965,relpscost,1,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_7_relpscost_seed0.json,results/baseline/raw/instance_7_relpscost_seed0.log
7,random,0,8.0.4,time_limit,,,,0.0106134686000812,,30.730541995,2.1042,30.025291,27.921091,1,8868,3002.5288,,38100,3036,93965,random,1,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_7_random_seed0.json,results/baseline/raw/instance_7_random_seed0.log
7,mostinf,0,8.0.4,time_limit,,,,0.0106134686000812,,30.755981757,2.089585,30.029357,27.939772,1,8868,3002.9355,,38100,3036,93965,mostinf,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_7_mostinf_seed0.json,results/baseline/raw/instance_7_mostinf_seed0.log
8,default,0,8.0.4,optimal,0.0096121,0.0103411,0.0096121,0.0096121,0,28.83100787,1.43911,28.271785,26.832675,12,13136,2825.8433,28.246484,27094,2880,65069,relpscost,11,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_8_default_seed0.json,results/baseline/raw/instance_8_default_seed0.log
8,relpscost,0,8.0.4,optimal,0.0096121,0.0103411,0.0096121,0.0096121,0,28.813295628,1.439692,28.266294,26.826602,12,13136,2825.2859,28.240969,27094,2880,65069,relpscost,11,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_8_relpscost_seed0.json,results/baseline/raw/instance_8_relpscost_seed0.log
8,random,0,8.0.4,time_limit,0.0108285823,,0.0108285823,0.0096121,0.126557391204836,30.46446282,1.438654,30.062144,28.62349,23,23148,1963.36770635175,18.311227,27094,2880,65069,random,23,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_8_random_seed0.json,results/baseline/raw/instance_8_random_seed0.log
8,mostinf,0,8.0.4,optimal,0.0096121,0.0103411,0.0096121,0.0096121,0,20.049722379,1.432204,19.653175,18.220971,81,13553,1964.6791,19.642395,27094,2880,65069,mostinf,73,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_8_mostinf_seed0.json,results/baseline/raw/instance_8_mostinf_seed0.log
9,default,0,8.0.4,optimal,0.0022776,0.0025445,0.0022776,0.0022776,0,4.091064817,0.458596,3.94603,3.487434,9,3596,178.021480106951,0.739331,10746,2668,22075,relpscost,10,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_9_default_seed0.json,results/baseline/raw/instance_9_default_seed0.log
9,relpscost,0,8.0.4,optimal,0.0022776,0.0025445,0.0022776,0.0022776,0,4.099837932,0.458363,3.954993,3.49663,9,3596,178.373874882019,0.739928,10746,2668,22075,relpscost,10,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_9_relpscost_seed0.json,results/baseline/raw/instance_9_relpscost_seed0.log
9,random,0,8.0.4,optimal,0.0022776,0.0025445,0.0022776,0.0022776,0,2.205467287,0.456963,2.059885,1.602922,4,3655,118.640932743749,0.738509,10746,2668,22075,random,4,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_9_random_seed0.json,results/baseline/raw/instance_9_random_seed0.log
9,mostinf,0,8.0.4,optimal,0.0022776,0.0025445,0.0022776,0.0022776,0,2.191104654,0.455033,2.046677,1.591644,12,3583,118.170545430918,0.737246,10746,2668,22075,mostinf,11,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_9_mostinf_seed0.json,results/baseline/raw/instance_9_mostinf_seed0.log
9,strong,0,8.0.4,optimal,0.0022776,0.0025445,0.0022776,0.0022776,0,10.884863147,0.456551,10.660482,10.203931,18,3622,389.255715716687,0.736633,10746,2668,22075,fullstrong,19,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_9_strong_seed0.json,results/baseline/raw/instance_9_strong_seed0.log
