instance_id,method,n_runs,wall_mean,wall_median,wall_shifted_geomean,nodes_mean,gap_mean,optimal_rate
real_01,gcnn,2,87.8112676085,87.8112676085,82.15419397580224,98.5,0.0,1.0
real_01,z-bias,2,89.0415407855,89.0415407855,84.59280371340826,98.5,0.0,1.0
real_01,root-z-bias,2,86.5830313475,86.5830313475,82.85695947777621,98.5,0.0,1.0
real_01,full-prim,2,24.6249556975,24.6249556975,24.596230672555187,13.0,0.0,1.0
real_01,topology-only,2,24.459350393999998,24.459350393999998,24.43591500789134,13.0,0.0,1.0
real_05,gcnn,2,50.2831427685,50.2831427685,45.77346526349025,39.5,0.0,1.0
real_05,z-bias,2,20.408662550000003,20.408662550000003,20.212146929151253,5.0,0.0,1.0
real_05,root-z-bias,2,33.3967628355,33.3967628355,32.42296330193706,21.0,0.0,1.0
real_05,full-prim,2,84.13759155,84.13759155,69.52025892656268,81.0,0.0,1.0
real_05,topology-only,2,84.0078594695,84.0078594695,68.26174005220076,81.0,0.0,1.0
real_08,gcnn,2,24.992087401,24.992087401,21.64247372735078,35.0,0.0,1.0
real_08,z-bias,2,13.763375566,13.763375566,13.438309953591794,9.0,0.0,1.0
real_08,root-z-bias,2,13.046011515,13.046011515,12.860884775592666,7.5,0.0,1.0
real_08,full-prim,2,21.857424559,21.857424559,19.57766660336779,26.5,0.0,1.0
real_08,topology-only,2,23.1756628455,23.1756628455,20.46054756665822,26.5,0.0,1.0
