event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,forward_time,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,0,10,2.357079267501831,2.8572750091552734,0.9905,,,,,,10,-0.22761355340480804,0.05956806242465973,84.0,0.12836697700549848,1486.05078125,67.01904296875,,data/instances/train/real_06.cip
train_update,0,20,1.9619370698928833,2.4793174266815186,0.981,,,,,,12,-0.6685335040092468,0.20800596475601196,78.0,0.13572447298793122,1495.0078125,67.01904296875,,data/instances/train/real_06.cip
train_update,0,30,1.3338017463684082,1.8898136615753174,0.96675,,,,,,15,-1.3267956972122192,0.6261985301971436,54.0,0.13404152300790884,1509.1640625,67.01904296875,,data/instances/train/real_06.cip
train_update,0,40,0.12440228462219238,0.43178021907806396,0.95725,,,,,,17,-3.7361397743225098,0.5007914304733276,128.0,0.13359945302363485,1518.0703125,67.01904296875,,data/instances/train/real_06.cip
train_update,0,50,0.6247260570526123,1.1333928108215332,0.9430000000000001,,,,,,20,-3.396420955657959,1.528861403465271,107.0,0.12110565201146528,1532.68359375,67.01904296875,,data/instances/train/real_06.cip
train_update,0,60,0.4664003252983093,0.9867277145385742,0.9335,,,,,,22,-2.636403799057007,0.39083075523376465,22.0,0.13583232497330755,1542.05078125,67.01904296875,,data/instances/train/real_06.cip
train_update,0,70,0.13305826485157013,0.44485318660736084,0.91925,,,,,,25,-3.3437047004699707,0.679184079170227,13.0,0.13829372299369425,1555.91015625,67.01904296875,,data/instances/train/real_06.cip
train_update,0,80,0.11189795285463333,0.45360755920410156,0.9097500000000001,,,,,,27,-5.279333114624023,0.31369853019714355,32.0,0.1368999489932321,1565.640625,67.01904296875,,data/instances/train/real_06.cip
train_update,0,90,0.0887400284409523,0.40153956413269043,0.8955,,,,,,30,-4.901241302490234,0.9999700784683228,22.0,0.13386997001362033,1580.5546875,67.01904296875,,data/instances/train/real_06.cip
train_update,0,100,0.01247234083712101,0.15579462051391602,0.886,,,,,,32,-4.160615921020508,0.5519158840179443,36.0,0.1335594849952031,1588.99609375,67.01904296875,,data/instances/train/real_06.cip
train_update,0,110,0.03093140199780464,0.25895094871520996,0.87175,,,,,,35,-4.595376968383789,0.7782690525054932,23.0,0.1312035880109761,1603.42578125,67.01904296875,,data/instances/train/real_06.cip
train_update,0,120,0.012887753546237946,0.1597294807434082,0.86225,,,,,,37,-5.2153096199035645,1.3659825325012207,65.0,0.13633193998248316,1612.81640625,67.01904296875,,data/instances/train/real_06.cip
train_update,0,130,0.03796287626028061,0.28029346466064453,0.848,,,,,,40,-5.046747207641602,0.5670688152313232,55.0,0.13839503200142644,1627.1015625,67.01904296875,,data/instances/train/real_06.cip
train_update,0,140,0.0307602621614933,0.22909808158874512,0.8385,,,,,,42,-5.396030426025391,0.8134133815765381,61.0,0.1343285180046223,1636.796875,67.01904296875,,data/instances/train/real_06.cip
train_update,0,150,0.016389181837439537,0.1966550350189209,0.82425,,,,,,45,-5.489220142364502,0.6715455055236816,4.0,0.1281939100008458,1650.67578125,67.01904296875,,data/instances/train/real_06.cip
train_update,0,160,0.004202979616820812,0.10784149169921875,0.81475,,,,,,47,-7.329353332519531,1.4270589351654053,88.0,0.133563746989239,1660.41015625,67.01904296875,,data/instances/train/real_06.cip
train_update,0,170,0.032013390213251114,0.3293263912200928,0.8005,,,,,,50,-7.316168785095215,2.1467082500457764,4.0,0.12982230400666595,1674.265625,67.01904296875,,data/instances/train/real_06.cip
train_update,0,180,0.10674948990345001,0.47263026237487793,0.791,,,,,,52,-6.926129341125488,0.15127062797546387,68.0,0.1340552729961928,1683.9921875,67.01904296875,,data/instances/train/real_06.cip
train_update,0,190,0.22138626873493195,0.6867084503173828,0.77675,,,,,,55,-9.418641090393066,0.23316287994384766,24.0,0.13273556297644973,1698.90625,67.01904296875,,data/instances/train/real_06.cip
train_update,0,200,0.20527535676956177,0.6561164855957031,0.76725,,,,,,57,-10.682363510131836,0.5862903594970703,2.0,0.13157165099983104,1708.28515625,67.01904296875,,data/instances/train/real_06.cip
episode,0,208,0.07262329757213593,0.3715968132019043,0.753,-62.0,63,60.205083,,,61,,,59.75409836065574,,1659.3359375,67.01904296875,timelimit,data/instances/train/real_06.cip
train_update,1,210,0.09375631809234619,0.4501314163208008,0.753,,,,,,61,-9.621212005615234,0.7127351760864258,11.0,0.13866665301611647,1784.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,1,220,7.909817695617676,11.161263465881348,0.7435,,,,,,62,-11.661263465881348,0.2551841735839844,37.0,0.08091696500196122,1793.91796875,67.01904296875,,data/instances/train/real_06.cip
train_update,1,230,0.06290824711322784,0.2726316452026367,0.72925,,,,,,64,-6.850263595581055,0.9148421287536621,195.0,0.12679689200012945,1807.37890625,67.01904296875,,data/instances/train/real_06.cip
train_update,1,240,0.3518776297569275,0.8318271636962891,0.71975,,,,,,64,-8.524569511413574,0.2582359313964844,7.0,0.13159807902411558,1808.54296875,67.01904296875,,data/instances/train/real_06.cip
train_update,1,250,2.3596789836883545,5.808022499084473,0.7055,,,,,,64,-10.433066368103027,0.8058605194091797,3.0,0.1077192370139528,1810.8046875,67.01904296875,,data/instances/train/real_06.cip
train_update,1,260,10.060916900634766,10.634613037109375,0.696,,,,,,64,-12.134613037109375,0.28665876388549805,95.0,0.07638928401865996,1813.8046875,67.01904296875,,data/instances/train/real_06.cip
train_update,1,270,0.02572150155901909,0.2281038761138916,0.6817500000000001,,,,,,64,-7.332890510559082,0.03951859474182129,225.0,0.1249757040059194,1816.80078125,67.01904296875,,data/instances/train/real_06.cip
train_update,1,280,0.08057957887649536,0.4387078285217285,0.67225,,,,,,64,-9.745536804199219,0.719505786895752,5.0,0.1270649819925893,1819.80078125,67.01904296875,,data/instances/train/real_06.cip
train_update,1,290,1.3130953311920166,5.476659774780273,0.658,,,,,,64,-11.500947952270508,0.8884773254394531,106.0,0.1045041480101645,1823.0625,67.01904296875,,data/instances/train/real_06.cip
train_update,1,300,0.021476296707987785,0.1875758171081543,0.6485000000000001,,,,,,64,-11.190463066101074,0.9653053283691406,100.0,0.12189713402767666,1823.0625,67.01904296875,,data/instances/train/real_06.cip
train_update,1,310,4.423547744750977,4.980088233947754,0.63425,,,,,,64,-8.890542030334473,1.2911806106567383,56.0,0.10380904300836846,1823.0703125,67.01904296875,,data/instances/train/real_06.cip
train_update,1,320,11.243427276611328,11.824851989746094,0.62475,,,,,,64,-12.324851989746094,0.1541452407836914,38.0,0.07281281700124964,1823.0703125,67.01904296875,,data/instances/train/real_06.cip
train_update,1,330,0.04025701433420181,0.3380904197692871,0.6105,,,,,,64,-8.605591773986816,0.11734199523925781,1.0,0.13388028999906965,1823.0703125,67.01904296875,,data/instances/train/real_06.cip
train_update,1,340,0.5607616305351257,0.816864013671875,0.601,,,,,,64,-10.644267082214355,0.44977378845214844,37.0,0.12824921199353412,1823.08203125,67.01904296875,,data/instances/train/real_06.cip
train_update,1,350,2.591930866241455,6.379257678985596,0.58675,,,,,,64,-11.864524841308594,0.1687769889831543,111.0,0.09964627400040627,1823.08203125,67.01904296875,,data/instances/train/real_06.cip
train_update,1,360,0.14292044937610626,0.7923970222473145,0.57725,,,,,,64,-9.526973724365234,0.5727310180664062,36.0,0.1327673589985352,1823.08203125,67.01904296875,,data/instances/train/real_06.cip
train_update,1,370,0.1590583473443985,0.5889596939086914,0.563,,,,,,64,-10.953580856323242,0.4306960105895996,11.0,0.12645834300201386,1823.58984375,67.01904296875,,data/instances/train/real_06.cip
train_update,1,380,0.38248056173324585,1.0333595275878906,0.5535000000000001,,,,,,64,-10.06865119934082,1.2951173782348633,45.0,0.1284564509987831,1823.58984375,67.01904296875,,data/instances/train/real_06.cip
train_update,1,390,0.02819526009261608,0.24194002151489258,0.53925,,,,,,64,-11.513181686401367,0.6541576385498047,85.0,0.12453394397743978,1823.58984375,67.01904296875,,data/instances/train/real_06.cip
train_update,1,400,5.299023151397705,5.571775436401367,0.5297499999999999,,,,,,64,-12.345416069030762,0.24837779998779297,11.0,0.10374207401764579,1823.59375,67.01904296875,,data/instances/train/real_06.cip
train_update,1,410,0.07618174701929092,0.7426662445068359,0.5155000000000001,,,,,,64,-10.976460456848145,1.0188798904418945,17.0,0.12174338600016199,1823.59375,67.01904296875,,data/instances/train/real_06.cip
train_update,1,420,0.21966329216957092,0.6565146446228027,0.506,,,,,,64,-11.804768562316895,0.27059173583984375,100.0,0.1267191460065078,1823.59765625,67.01904296875,,data/instances/train/real_06.cip
train_update,1,430,0.18006631731987,0.7310843467712402,0.49175,,,,,,64,-13.266469955444336,0.6517367362976074,1.0,0.12906511599430814,1823.59765625,67.01904296875,,data/instances/train/real_06.cip
train_update,1,440,9.947820663452148,11.440317153930664,0.48224999999999996,,,,,,64,-12.440317153930664,1.2102746963500977,25.0,0.07264027997734956,1823.59765625,67.01904296875,,data/instances/train/real_06.cip
train_update,1,450,0.07524033635854721,0.40918874740600586,0.46799999999999997,,,,,,64,-12.186735153198242,0.7289643287658691,77.0,0.13219934501103126,1823.62109375,67.01904296875,,data/instances/train/real_06.cip
episode,1,456,1.3830279111862183,7.013503074645996,0.4585,-63.0,64,60.367038,,,64,,,47.483870967741936,,1701.03125,67.01904296875,timelimit,data/instances/train/real_06.cip
validation,2,456,,,,,,,83.0,43.30456,64,,,,,,,optimal,data/instances/validation/real_08.cip
train_update,2,460,12.603179931640625,13.394495010375977,0.4585,,,,,,64,-13.894495010375977,0.2454204559326172,4.0,0.0804304679913912,1800.40234375,67.01904296875,,data/instances/train/real_06.cip
train_update,2,470,1.9581615924835205,7.004612445831299,0.44425000000000003,,,,,,64,-14.717842102050781,0.04440927505493164,4.0,0.10208456500549801,1800.40234375,67.01904296875,,data/instances/train/real_06.cip
train_update,2,480,11.752832412719727,12.69143295288086,0.4347500000000001,,,,,,64,-13.19143295288086,0.029485702514648438,12.0,0.07513132900930941,1800.40234375,67.01904296875,,data/instances/train/real_06.cip
train_update,2,490,1.1422269344329834,7.337275505065918,0.4205,,,,,,64,-14.297699928283691,0.0674600601196289,19.0,0.10478124200017191,1800.41015625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,500,0.9527643918991089,1.5204310417175293,0.41100000000000003,,,,,,64,-12.75865364074707,1.0892186164855957,31.0,0.12458093502209522,1800.41015625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,510,0.4588385224342346,0.9686946868896484,0.39675000000000005,,,,,,64,-16.156566619873047,0.03618335723876953,23.0,0.12690839599235915,1800.41015625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,520,1.6041927337646484,7.829646587371826,0.38725,,,,,,64,-14.728466033935547,0.7085256576538086,43.0,0.10170046400162391,1800.41015625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,530,0.5088562369346619,0.8040709495544434,0.373,,,,,,64,-14.067583084106445,1.0749411582946777,2.0,0.1275367810158059,1800.41015625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,540,0.0639476478099823,0.3342905044555664,0.36350000000000005,,,,,,64,-15.71839714050293,0.2930026054382324,5.0,0.130784719978692,1800.75,67.01904296875,,data/instances/train/real_06.cip
train_update,2,550,1.6227761507034302,7.206365585327148,0.34924999999999995,,,,,,64,-15.319236755371094,0.5823798179626465,10.0,0.09978568702354096,1800.75,67.01904296875,,data/instances/train/real_06.cip
train_update,2,560,0.9250361323356628,1.3031649589538574,0.3397500000000001,,,,,,64,-15.051908493041992,1.3004612922668457,14.0,0.1284794519888237,1800.75,67.01904296875,,data/instances/train/real_06.cip
train_update,2,570,2.045145034790039,7.9291582107543945,0.3255,,,,,,64,-15.859095573425293,0.16580867767333984,55.0,0.100289343012264,1800.75390625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,580,6.468540191650391,7.025854110717773,0.31600000000000006,,,,,,64,-14.361865043640137,1.3186683654785156,6.0,0.10031647197320126,1800.7578125,67.01904296875,,data/instances/train/real_06.cip
train_update,2,590,0.42751818895339966,0.9446077346801758,0.3017500000000001,,,,,,64,-17.362712860107422,1.800633430480957,4.0,0.12911478299065493,1800.7578125,67.01904296875,,data/instances/train/real_06.cip
train_update,2,600,0.007499055936932564,0.1284780502319336,0.29225,,,,,,64,-17.19174575805664,0.669642448425293,13.0,0.12689594298717566,1800.7578125,67.01904296875,,data/instances/train/real_06.cip
train_update,2,610,1.698301911354065,2.4027557373046875,0.278,,,,,,64,-19.980506896972656,0.32123374938964844,1.0,0.1250711949833203,1800.7578125,67.01904296875,,data/instances/train/real_06.cip
train_update,2,620,1.0893049240112305,6.97979736328125,0.26850000000000007,,,,,,64,-15.812041282653809,0.4130125045776367,2.0,0.09833911299938336,1801.53125,67.01904296875,,data/instances/train/real_06.cip
train_update,2,630,7.718544006347656,8.191306114196777,0.25425,,,,,,64,-17.19124412536621,1.477407455444336,3.0,0.10206370800733566,1800.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,640,1.6838338375091553,6.807032585144043,0.24475000000000002,,,,,,64,-15.624981880187988,1.915846824645996,1.0,0.0981330770009663,1800.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,650,0.018239276483654976,0.2015533447265625,0.23050000000000004,,,,,,64,-18.908571243286133,0.10504722595214844,25.0,0.12506801000563428,1800.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,660,2.4225783348083496,6.8586578369140625,0.22100000000000009,,,,,,64,-17.236663818359375,2.523082733154297,4.0,0.09600886900443584,1800.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,670,0.0237865187227726,0.19797039031982422,0.2067500000000001,,,,,,64,-19.186708450317383,0.08716392517089844,1.0,0.11994986198260449,1800.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,680,1.5828304290771484,5.987157344818115,0.19725000000000004,,,,,,64,-16.118131637573242,3.7242016792297363,8.0,0.09111178398597986,1800.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,690,0.0928269773721695,0.3408927917480469,0.18300000000000005,,,,,,64,-21.426311492919922,0.2232503890991211,27.0,0.1250983530189842,1800.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,700,1.2932498455047607,3.8495593070983887,0.1735,,,,,,64,-14.990579605102539,5.117527484893799,5.0,0.12490998301655054,1800.6640625,67.01904296875,,data/instances/train/real_06.cip
train_update,2,710,0.06187108904123306,0.5084943771362305,0.15925,,,,,,64,-20.244110107421875,0.2505607604980469,1.0,0.13179627500358038,1800.671875,67.01904296875,,data/instances/train/real_06.cip
train_update,2,720,0.2504504919052124,1.0631647109985352,0.14975000000000005,,,,,,64,-21.290462493896484,0.22953510284423828,1.0,0.1230741289909929,1800.671875,67.01904296875,,data/instances/train/real_06.cip
train_update,2,730,0.007309611886739731,0.12845420837402344,0.13550000000000006,,,,,,64,-21.419391632080078,0.6137914657592773,2.0,0.12714458900154568,1800.671875,67.01904296875,,data/instances/train/real_06.cip
episode,2,732,2.1561670303344727,9.629622459411621,0.13075000000000003,-69.0,70,60.243802,,,64,,,17.6231884057971,,1725.65234375,67.01904296875,timelimit,data/instances/train/real_06.cip
validation,3,732,,,,,,,100.0,46.817906,64,,,,,,,nodelimit,data/instances/validation/real_08.cip
train_update,3,740,1.0730154514312744,9.8331880569458,0.126,,,,,,64,-21.24995994567871,0.04665565490722656,33.0,0.09969786900910549,1822.29296875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,750,0.07675369083881378,0.5670413970947266,0.11175000000000002,,,,,,64,-22.148584365844727,0.5608234405517578,1.0,0.12504804399213754,1822.29296875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,760,1.02811861038208,9.65079116821289,0.10225000000000006,,,,,,64,-19.33098602294922,1.0808725357055664,63.0,0.10214691999135539,1822.29296875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,770,17.565759658813477,18.515460968017578,0.08800000000000008,,,,,,64,-19.515460968017578,0.17802906036376953,12.0,0.07641276897629723,1822.29296875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,780,0.11499953269958496,0.5285158157348633,0.07850000000000001,,,,,,64,-22.296977996826172,0.5047216415405273,6.0,0.12431187799666077,1822.29296875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,790,20.384620666503906,20.91963005065918,0.06425000000000003,,,,,,64,-21.91963005065918,0.195098876953125,2.0,0.0766008070204407,1823.5390625,67.01904296875,,data/instances/train/real_06.cip
train_update,3,800,0.08759176731109619,0.48439979553222656,0.054750000000000076,,,,,,64,-23.012401580810547,0.5812883377075195,1.0,0.13143571000546217,1823.671875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,810,1.3429923057556152,10.554539680480957,0.050000000000000044,,,,,,64,-21.921960830688477,1.0553226470947266,1.0,0.10024949800572358,1825.171875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,820,1.0016809701919556,10.196511268615723,0.050000000000000044,,,,,,64,-22.13019371032715,2.2835617065429688,5.0,0.09426780400099233,1826.671875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,830,0.44766440987586975,1.1214494705200195,0.050000000000000044,,,,,,64,-22.159006118774414,0.16205596923828125,16.0,0.12714606599183753,1828.171875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,840,0.09781406819820404,0.5026969909667969,0.050000000000000044,,,,,,64,-22.674949645996094,0.5194902420043945,5.0,0.12449689899221994,1828.171875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,850,0.007783741224557161,0.09947395324707031,0.050000000000000044,,,,,,64,-24.035919189453125,0.7466535568237305,44.0,0.12687160199857317,1831.171875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,860,3.8016788959503174,10.962666511535645,0.050000000000000044,,,,,,64,-19.926719665527344,0.5738897323608398,3.0,0.09434456599410623,1832.671875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,870,1.0912145376205444,9.383650779724121,0.050000000000000044,,,,,,64,-21.688743591308594,2.371013641357422,145.0,0.1019665409985464,1834.171875,67.01904296875,,data/instances/train/real_06.cip
train_update,3,880,0.3132639527320862,0.851374626159668,0.050000000000000044,,,,,,64,-25.746347427368164,0.39508056640625,2.0,0.12514388101408258,1835.56640625,67.01904296875,,data/instances/train/real_06.cip
train_update,3,890,0.2238651067018509,0.6263904571533203,0.050000000000000044,,,,,,64,-23.916542053222656,0.3197975158691406,12.0,0.12351160502294078,1838.55078125,67.01904296875,,data/instances/train/real_06.cip
train_update,3,900,0.04792298376560211,0.30944347381591797,0.050000000000000044,,,,,,64,-24.75776481628418,0.247467041015625,6.0,0.1269563130044844,1839.578125,67.01904296875,,data/instances/train/real_06.cip
train_update,3,910,2.221170425415039,10.13117504119873,0.050000000000000044,,,,,,64,-20.968416213989258,2.391643524169922,18.0,0.09843029899639077,1840.90234375,67.01904296875,,data/instances/train/real_06.cip
train_update,3,920,0.32642123103141785,1.1111602783203125,0.050000000000000044,,,,,,64,-26.94216537475586,0.36900997161865234,2.0,0.12712719300179742,1842.578125,67.01904296875,,data/instances/train/real_06.cip
train_update,3,930,0.05487396568059921,0.3211498260498047,0.050000000000000044,,,,,,64,-26.11080551147461,0.37323856353759766,1.0,0.1288645480235573,1844.078125,67.01904296875,,data/instances/train/real_06.cip
train_update,3,940,1.9278028011322021,9.548611640930176,0.050000000000000044,,,,,,64,-21.828372955322266,3.8136892318725586,2.0,0.10047366900835186,1846.8359375,67.01904296875,,data/instances/train/real_06.cip
train_update,3,950,1.1358704566955566,1.5657711029052734,0.050000000000000044,,,,,,64,-27.449825286865234,2.64748477935791,1.0,0.12721376097761095,1849.98828125,67.01904296875,,data/instances/train/real_06.cip
train_update,3,960,0.13155032694339752,0.610478401184082,0.050000000000000044,,,,,,64,-28.077892303466797,0.13777923583984375,6.0,0.12698626398923807,1851.47265625,67.01904296875,,data/instances/train/real_06.cip
episode,3,960,0.13155032694339752,0.610478401184082,0.050000000000000044,-59.0,60,60.341951,,,64,,,17.17543859649123,,1770.99609375,67.01904296875,timelimit,data/instances/train/real_06.cip
validation,4,960,,,,,,,100.0,44.520379,64,,,,,,,nodelimit,data/instances/validation/real_08.cip
train_update,4,970,0.4259577691555023,1.0542449951171875,0.050000000000000044,,,,,,64,-27.407665252685547,1.1739225387573242,5.0,0.13268621399765834,1853.5625,67.01904296875,,data/instances/train/real_06.cip
train_update,4,980,1.1571969985961914,2.2231740951538086,0.050000000000000044,,,,,,64,-25.63393211364746,1.330301284790039,4.0,0.13086515999748372,1853.5625,67.01904296875,,data/instances/train/real_06.cip
