t,t,t,t,t,t,t,t,t,t,t
1,F0001,F001-160,T204-X08,,T504-X07,,7790,,1.00E-06,1
2,F0001,F001-165,T204-X13,,T505-X06G,,12070,,1.00E-06,1
3,F0001,F001-166,T204-X14,,T505-X01,,11590,,1.00E-06,1
4,F0001,F001-164,T204-X12,,T505-X05G,,12100,,1.00E-06,1
5,F0001,F001-167,T204-X15,,T505-X02,,11590,,1.00E-06,1
6,F0001,F001-1,B01-X01,,T201-X01,,3070,,1.00E-06,1
7,F0001,F001-2,B01-X02,,T201-X02,,3100,,1.00E-06,1
8,F0001,F001-3,B01-X03,,T201-X03,,3210,,1.00E-06,1
9,F0001,F001-4,B01-X04,,T201-X04,,3280,,1.00E-06,1
10,F0001,F001-8,B01-X08,,T201-X08,,3260,,1.00E-06,1
11,F0001,F001-12,B01-X12,,T201-X12,,3490,,1.00E-06,1
12,F0001,F001-7,B01-X07,,T201-X07,,3200,,1.00E-06,1
13,F0001,F001-16,B01-X16,,T201-X16,,3390,,1.00E-06,1
14,F0001,F001-5,B01-X05,,T201-X05,,3340,,1.00E-06,1
15,F0001,F001-6,B01-X06,,T201-X06,,3330,,1.00E-06,1
16,F0001,F001-15,B01-X15,,T201-X15,,3450,,1.00E-06,1
17,F0001,F001-11,B01-X11,,T201-X11,,3520,,1.00E-06,1
18,F0001,F001-9,B01-X09,,T201-X09,,3250,,1.00E-06,1
19,F0001,F001-18,B01-X18,,T201-X18,,3510,,1.00E-06,1
20,F0001,F001-20,B01-X20,,T201-X20,,3660,,1.00E-06,1
21,F0001,F001-17,B01-X17,,T201-X17,,3500,,1.00E-06,1
22,F0001,F001-14,B01-X14,,T201-X14,,3600,,1.00E-06,1
23,F0001,F001-19,B01-X19,,T201-X19,,3650,,1.00E-06,1
24,F0001,F001-13,B01-X13,,T201-X13,,3610,,1.00E-06,1
25,F0001,F001-10,B01-X10,,T201-X10,,3360,,1.00E-06,1
26,F0001,F001-55,B02-X20,,T202-X20,,6230,,1.00E-06,1
27,F0001,F001-49,B02-X14,,T202-X14,,6250,,1.00E-06,1
28,F0001,F001-54,B02-X19,,T202-X19,,6300,,1.00E-06,1
29,F0001,F001-48,B02-X13,,T202-X13,,6170,,1.00E-06,1
30,F0001,F001-157,T204-X05,,T504-X06G,,7860,,1.00E-06,1
31,F0001,F001-136,T255-X03,,F01-X01,,18150,,1.00E-06,1
32,F0001,F001-159,T204-X07,,T504-X02,,8260,,1.00E-06,1
33,F0001,F001-156,T204-X04,,T504-X05G,,7950,,1.00E-06,1
34,F0001,F001-68,T502-X04,,C02-X13,,5760,,1.00E-06,1
35,F0001,F001-69,T502-X05,,C02-X14,,5340,,1.00E-06,1
36,F0001,F001-61,T502-X05G,,C02-X06,,4810,,1.00E-06,1
37,F0001,F001-62,T502-X06G,,C02-X07,,4790,,1.00E-06,1
38,F0001,F001-63,T502-X01,,C02-X08,,5260,,1.00E-06,1
39,F0001,F001-64,T502-X02,,C02-X09,,5340,,1.00E-06,1
40,F0001,F001-65,T502-X07,,C02-X10,,4820,,1.00E-06,1
41,F0001,F001-67,T502-X03,,C02-X12,,5220,,1.00E-06,1
42,F0001,F001-66,T502-X08,,C02-X11,,4730,,1.00E-06,1
43,F0001,F001-56,B02-X21,,C02-X01,,16620,,1.00E-06,1
44,F0001,F001-57,B02-X22,,C02-X02,,16690,,1.00E-06,1
45,F0001,F001-118,T301-X04,,C04-X13,,11570,,1.00E-06,1
46,F0001,F001-119,T301-X05,,C04-X14,,11640,,1.00E-06,1
47,F0001,F001-70,T402-X01,,C02-X15,,20100,,1.00E-06,1
48,F0001,F001-26,T501-X05G,,C01-X06,,7110,,1.00E-06,1
49,F0001,F001-34,T501-X05,,C01-X14,,7410,,1.00E-06,1
50,F0001,F001-38,B02-X03,,T202-X03,,6310,,1.00E-06,1
51,F0001,F001-39,B02-X04,,T202-X04,,6190,,2.00E-06,1
52,F0001,F001-40,B02-X05,,T202-X05,,6220,,2.00E-06,1
53,F0001,F001-24,B01-X24,,C01-X04,,13230,,2.00E-06,1
54,F0001,F001-29,T501-X02,,C01-X09,,6740,,2.00E-06,1
55,F0001,F001-30,T501-X07,,C01-X10,,7110,,2.00E-06,1
56,F0001,F001-25,B01-X25,,C01-X05,,12980,,2.00E-06,1
57,F0001,F001-33,T501-X04,,C01-X13,,6980,,2.00E-06,1
58,F0001,F001-41,B02-X06,,T202-X06,,6310,,2.00E-06,1
59,F0001,F001-42,B02-X07,,T202-X07,,6430,,2.00E-06,1
60,F0001,F001-43,B02-X08,,T202-X08,,6420,,2.00E-06,1
61,F0001,F001-36,B02-X01,,T202-X01,,6540,,2.00E-06,1
62,F0001,F001-44,B02-X09,,T202-X09,,6510,,2.00E-06,1
63,F0001,F001-28,T501-X01,,C01-X08,,6840,,2.00E-06,1
64,F0001,F001-27,T501-X06G,,C01-X07,,7240,,2.00E-06,1
65,F0001,F001-32,T501-X03,,C01-X12,,6790,,2.00E-06,1
66,F0001,F001-35,T401-X01,,C01-X15,,15770,,2.00E-06,1
67,F0001,F001-31,T501-X08,,C01-X11,,7180,,2.00E-06,1
68,F0001,F001-37,B02-X02,,T202-X02,,6440,,2.00E-06,1
69,F0001,F001-81,D01-X11,,T203-X11,,15630,,2.00E-06,1
70,F0001,F001-82,D01-X12,,T203-X12,,15600,,2.00E-06,1
71,F0001,F001-59,B02-X24,,C02-X04,,16800,,2.00E-06,1
72,F0001,F001-53,B02-X18,,T202-X18,,6430,,2.00E-06,1
73,F0001,F001-45,B02-X10,,T202-X10,,6490,,2.00E-06,1
74,F0001,F001-50,B02-X15,,T202-X15,,6370,,2.00E-06,1
75,F0001,F001-47,B02-X12,,T202-X12,,6300,,2.00E-06,1
76,F0001,F001-51,B02-X16,,T202-X16,,6400,,2.00E-06,1
77,F0001,F001-60,B02-X25,,C02-X05,,16470,,2.00E-06,1
78,F0001,F001-58,B02-X23,,C02-X03,,16820,,2.00E-06,1
79,F0001,F001-46,B02-X11,,T202-X11,,6360,,2.00E-06,1
80,F0001,F001-52,B02-X17,,T202-X17,,6410,,2.00E-06,1
81,F0001,F001-22,B01-X22,,C01-X02,,13430,,2.00E-06,1
82,F0001,F001-23,B01-X23,,C01-X03,,13260,,2.00E-06,1
83,F0001,F001-21,B01-X21,,C01-X01,,13470,,2.00E-06,1
84,F0001,F001-78,D01-X08,,T203-X08,,15780,,2.00E-06,1
85,F0001,F001-79,D01-X09,,T203-X09,,15710,,2.00E-06,1
86,F0001,F001-77,D01-X07,,T203-X07,,15830,,2.00E-06,1
87,F0001,F001-80,D01-X10,,T203-X10,,15670,,2.00E-06,1
88,F0001,F001-151,C06-X14,,C07-X10,,21730,,2.00E-06,1
89,F0001,F001-158,T204-X06,,T504-X01,,8310,,2.00E-06,1
90,F0001,F001-162,T204-X10,,T256-X02,,6120,,2.00E-06,1
91,F0001,F001-153,T204-X01,,F02-X01,,2830,,2.00E-06,1
92,F0001,F001-146,C06-X09,,C07-X05,,21920,,2.00E-06,1
93,F0001,F001-143,C06-X06,,C07-X02,,21990,,2.00E-06,1
94,F0001,F001-140,C06-X03,,F01-X05,,7080,,2.00E-06,1
95,F0001,F001-141,C06-X04,,F01-X06,,7190,,2.00E-06,1
96,F0001,F001-145,C06-X08,,C07-X04,,21950,,2.00E-06,1
97,F0001,F001-148,C06-X11,,C07-X07,,21980,,2.00E-06,1
98,F0001,F001-152,C06-X15,,C07-X11,,21960,,2.00E-06,1
99,F0001,F001-154,T204-X02,,F02-X02,,2830,,2.00E-06,1
100,F0001,F001-149,C06-X12,,C07-X08,,21990,,2.00E-06,1
101,F0001,F001-147,C06-X10,,C07-X06,,21910,,2.00E-06,1
102,F0001,F001-139,C06-X02,,F01-X04,,6760,,2.00E-06,1
103,F0001,F001-150,C06-X13,,C07-X09,,21700,,2.00E-06,1
104,F0001,F001-144,C06-X07,,C07-X03,,21980,,2.00E-06,1
105,F0001,F001-155,T204-X03,,F02-X03,,2670,,2.00E-06,1
106,F0001,F001-161,T204-X09,,T256-X01,,6300,,2.00E-06,1
107,F0001,F001-163,T204-X11,,T256-X03,,6120,,2.00E-06,1
108,F0001,F001-102,D01-X32,,C03-X12,,7630,,2.00E-06,1
109,F0001,F001-104,D01-X34,,C03-X15,,7580,,2.00E-06,1
110,F0001,F001-106,T503-X05G,,C04-X01,,17450,,2.00E-06,1
111,F0001,F001-108,T503-X01,,C04-X03,,18150,,2.00E-06,1
112,F0001,F001-110,T503-X07,,C04-X05,,17470,,2.00E-06,1
113,F0001,F001-98,D01-X28,,C03-X08,,7670,,2.00E-06,1
114,F0001,F001-101,D01-X31,,C03-X11,,7650,,2.00E-06,1
115,F0001,F001-85,D01-X15,,T203-X15,,16160,,2.00E-06,1
116,F0001,F001-115,T301-X01,,C04-X10,,10830,,2.00E-06,1
117,F0001,F001-88,D01-X18,,T203-X18,,16080,,2.00E-06,1
118,F0001,F001-99,D01-X29,,C03-X09,,7650,,2.00E-06,1
119,F0001,F001-90,D01-X20,,T203-X20,,15990,,2.00E-06,1
120,F0001,F001-96,D01-X26,,C03-X06,,7750,,2.00E-06,1
121,F0001,F001-89,D01-X19,,T203-X19,,16060,,2.00E-06,1
122,F0001,F001-86,D01-X16,,T203-X16,,16100,,2.00E-06,1
123,F0001,F001-94,D01-X24,,C03-X04,,8010,,2.00E-06,1
124,F0001,F001-100,D01-X30,,C03-X10,,7640,,2.00E-06,1
125,F0001,F001-93,D01-X23,,C03-X03,,8020,,2.00E-06,1
126,F0001,F001-83,D01-X13,,T203-X13,,15650,,2.00E-06,1
127,F0001,F001-92,D01-X22,,C03-X02,,8030,,2.00E-06,1
128,F0001,F001-95,D01-X25,,C03-X05,,8020,,2.00E-06,1
129,F0001,F001-87,D01-X17,,T203-X17,,16130,,2.00E-06,1
130,F0001,F001-91,D01-X21,,C03-X01,,8060,,2.00E-06,1
131,F0001,F001-97,D01-X27,,C03-X07,,7700,,2.00E-06,1
132,F0001,F001-84,D01-X14,,T203-X14,,16200,,2.00E-06,1
133,F0001,F001-103,D01-X33,,C03-X14,,7950,,2.00E-06,1
134,F0001,F001-105,D01-X35,,C03-X13,,7910,,2.00E-06,1
135,F0001,F001-107,T503-X06G,,C04-X02,,17540,,2.00E-06,1
136,F0001,F001-109,T503-X02,,C04-X04,,18080,,2.00E-06,1
137,F0001,F001-111,T503-X08,,C04-X06,,17570,,2.00E-06,1
138,F0001,F001-112,T503-X03,,C04-X07,,18160,,2.00E-06,1
139,F0001,F001-113,T503-X04,,C04-X08,,18080,,2.00E-06,1
140,F0001,F001-114,T503-X05,,C04-X09,,18470,,2.00E-06,1
141,F0001,F001-123,T251-X02,,C05-X03,,4210,,2.00E-06,1
142,F0001,F001-128,T253-X01,,C05-X08,,4920,,2.00E-06,1
143,F0001,F001-131,T254-X01,,C05-X11,,3240,,2.00E-06,1
144,F0001,F001-132,T254-X02,,C05-X12,,2810,,2.00E-06,1
145,F0001,F001-117,T301-X03,,C04-X12,,10770,,2.00E-06,1
146,F0001,F001-133,T254-X03,,C05-X13,,2850,,2.00E-06,1
147,F0001,F001-134,T255-X01,,C05-X14,,6300,,2.00E-06,1
148,F0001,F001-135,T255-X02,,C05-X15,,6260,,2.00E-06,1
149,F0001,F001-137,T403-X01,,F01-X02,,11770,,2.00E-06,1
150,F0001,F001-138,C06-X01,,F01-X03,,6650,,2.00E-06,1
151,F0001,F001-124,T251-X03,,C05-X04,,3990,,4.00E-06,1
152,F0001,F001-121,T301-X07,,C05-X01,,12600,,4.00E-06,1
153,F0001,F001-125,T252-X01,,C05-X05,,6900,,4.00E-06,1
154,F0001,F001-126,T252-X02,,C05-X06,,6170,,4.00E-06,1
155,F0001,F001-127,T252-X03,,C05-X07,,5870,,4.00E-06,1
156,F0001,F001-129,T253-X02,,C05-X09,,5040,,4.00E-06,1
157,F0001,F001-130,T253-X03,,C05-X10,,4810,,4.00E-06,1
158,F0001,F001-122,T251-X01,,C05-X02,,3980,,4.00E-06,1
159,F0001,F001-116,T301-X02,,C04-X11,,10840,,4.00E-06,1
160,F0001,F001-120,T301-X06,,C04-X15,,11270,,4.00E-06,1
161,F0001,F001-142,C06-X05,,C07-X01,,21990,,4.00E-06,1
162,F0001,F001-190,D02-X23,,F03-X06,,19020,,4.00E-06,1
163,F0001,F001-194,D02-X27,,T506-X02,,16180,,4.00E-06,1
164,F0001,F001-189,D02-X22,,F03-X05,,19110,,4.00E-06,1
165,F0001,F001-197,D02-X30,,T507-X05G,,8890,,4.00E-06,1
166,F0001,F001-193,D02-X26,,T506-X01,,16240,,4.00E-06,1
167,F0001,F001-200,D02-X33,,T507-X02,,9170,,4.00E-06,1
168,F0001,F001-199,D02-X32,,T507-X01,,9120,,4.00E-06,1
169,F0001,F001-192,D02-X25,,T506-X06G,,16030,,4.00E-06,1
170,F0001,F001-196,D02-X29,,T506-X08,,16050,,4.00E-06,1
171,F0001,F001-188,D02-X21,,F03-X04,,19550,,4.00E-06,1
172,F0001,F001-198,D02-X31,,T507-X06G,,8780,,4.00E-06,1
173,F0001,F001-202,D02-X35,,T507-X08,,8690,,4.00E-06,1
174,F0001,F001-195,D02-X28,,T506-X07,,16160,,4.00E-06,1
175,F0001,F001-191,D02-X24,,T506-X05G,,16130,,4.00E-06,1
176,F0001,F001-201,D02-X34,,T507-X07,,8790,,4.00E-06,1
177,F0001,F001-169,T204-X17,,D02-X02,,18480,,4.00E-06,1
178,F0001,F001-172,T204-X20,,D02-X05,,18380,,4.00E-06,1
179,F0001,F001-168,T204-X16,,D02-X01,,18470,,4.00E-06,1
180,F0001,F001-170,T204-X18,,D02-X03,,18430,,4.00E-06,1
181,F0001,F001-171,T204-X19,,D02-X04,,18390,,4.00E-06,1
182,F0001,F001-174,D02-X07,,F02-X05,,18750,,4.00E-06,1
183,F0001,F001-178,D02-X11,,T504-X04,,12060,,4.00E-06,1
184,F0001,F001-183,D02-X16,,T505-X04,,9020,,4.00E-06,1
185,F0001,F001-173,D02-X06,,F02-X04,,18450,,4.00E-06,1
186,F0001,F001-176,D02-X09,,T504-X08,,11570,,4.00E-06,1
187,F0001,F001-180,D02-X13,,T505-X07,,9110,,4.00E-06,1
188,F0001,F001-182,D02-X15,,T505-X03,,8960,,4.00E-06,1
189,F0001,F001-184,D02-X17,,T505-X05,,9020,,4.00E-06,1
190,F0001,F001-185,D02-X18,,F03-X01,,19480,,4.00E-06,1
191,F0001,F001-175,D02-X08,,F02-X06,,18830,,4.00E-06,1
192,F0001,F001-177,D02-X10,,T504-X03,,11990,,4.00E-06,1
193,F0001,F001-181,D02-X14,,T505-X08,,9480,,4.00E-06,1
194,F0001,F001-186,D02-X19,,F03-X02,,19360,,4.00E-06,1
195,F0001,F001-179,D02-X12,,T504-X05,,11710,,4.00E-06,1
196,F0001,F001-187,D02-X20,,F03-X03,,19700,,4.00E-06,1
197,F0001,F001-72,D01-X02,,T203-X02,,15770,,4.00E-06,1
198,F0001,F001-75,D01-X05,,T203-X05,,15640,,4.00E-06,1
199,F0001,F001-76,D01-X06,,T203-X06,,15620,,4.00E-06,1
200,F0001,F001-74,D01-X04,,T203-X04,,15690,,4.00E-06,1
201,F0001,F001-73,D01-X03,,T203-X03,,15720,,4.00E-06,1
202,F0001,F001-71,D01-X01,,T203-X01,,15910,,4.00E-06,1
