t,t,t,t,t,t
B01-X01,B02-X02,10070.049,TESTA01-100,TESTA01,
B01-X01,B02-X03,9992.123,TESTA01-101,TESTA01,
B01-X01,T401-X01,5486.494,TESTA01-102,TESTA01,
T204-X06,C01-X02,9881.31,TESTA01-103,TESTA01,
T204-X06,C01-X03,9873.425,TESTA01-104,TESTA01,
B01-X01,C01-X04,8220.664,TESTA01-105,TESTA01,
C01-X04,C02-X01,7882.979,TESTA01-106,TESTA01,
C01-X04,C02-X02,7864.676,TESTA01-107,TESTA01,
C01-X04,C02-X03,7846.731,TESTA01-108,TESTA01,
C01-X04,T203-X09,6060.735,TESTA01-109,TESTA01,
C01-X04,T401-X01,6835.804,TESTA01-110,TESTA01,
C01-X04,T251-X01,8866.495,TESTA01-111,TESTA01,
C01-X04,C03-X01,617.897,TESTA01-112,TESTA01,
C01-X04,C03-X02,630.375,TESTA01-113,TESTA01,
C01-X04,C03-X03,641.689,TESTA01-114,TESTA01,
C01-X04,C03-X04,710.299,TESTA01-115,TESTA01,
C03-X01,C04-X01,11299.837,TESTA01-116,TESTA01,
C03-X01,C04-X02,8552.072,TESTA01-117,TESTA01,
C03-X01,C04-X03,8587.026,TESTA01-118,TESTA01,
C03-X01,C04-X04,8592.681,TESTA01-119,TESTA01,
C03-X01,C04-X05,8602.633,TESTA01-120,TESTA01,
C03-X01,C05-X01,4905.302,TESTA01-121,TESTA01,
C03-X01,C05-X02,4917.228,TESTA01-122,TESTA01,
C03-X01,C05-X03,4939.049,TESTA01-123,TESTA01,
C03-X01,C06-X01,6265.155,TESTA01-124,TESTA01,
C03-X01,C06-X02,6260.289,TESTA01-125,TESTA01,
C03-X01,C06-X03,5931.828,TESTA01-126,TESTA01,
C03-X01,C06-X04,5924.172,TESTA01-127,TESTA01,
C03-X01,D01-X01,7105.15,TESTA01-128,TESTA01,
C03-X01,D01-X02,7074.23,TESTA01-129,TESTA01,
C03-X01,D01-X03,7053,TESTA01-130,TESTA01,
C03-X01,F03-X01,8119.279,TESTA01-131,TESTA01,
C03-X01,F03-X02,8232.517,TESTA01-132,TESTA01,
F03-X01,T506-X01,3991.02,TESTA01-133,TESTA01,
F03-X01,T506-X02,3910.026,TESTA01-134,TESTA01,
F03-X01,T506-X03,4001.597,TESTA01-135,TESTA01,
