t,t,t,t,t,t,t,t,t,t,t
42,F0001,F001-66,T502-X08,C02-X11,1.00E-06,,,4730,,1
43,F0001,F001-56,B02-X21,C02-X01,1.00E-06,,,16620,,1
44,F0001,F001-57,B02-X22,C02-X02,1.00E-06,,,16690,,1
45,F0001,F001-118,T301-X04,C04-X13,1.00E-06,,,11570,,1
46,F0001,F001-119,T301-X05,C04-X14,1.00E-06,,,11640,,1
47,F0001,F001-70,T402-X01,C02-X15,1.00E-06,,,20100,,1
48,F0001,F001-26,T501-X05G,C01-X06,1.00E-06,,,7110,,1
49,F0001,F001-34,T501-X05,C01-X14,1.00E-06,,,7410,,1
50,F0001,F001-38,B02-X03,T202-X03,1.00E-06,,,6310,,1
51,F0001,F001-39,B02-X04,T202-X04,2.00E-06,,,6190,,1
52,F0001,F001-40,B02-X05,T202-X05,2.00E-06,,,6220,,1
53,F0001,F001-24,B01-X24,C01-X04,2.00E-06,,,13230,,1
54,F0001,F001-29,T501-X02,C01-X09,2.00E-06,,,6740,,1
55,F0001,F001-30,T501-X07,C01-X10,2.00E-06,,,7110,,1
56,F0001,F001-25,B01-X25,C01-X05,2.00E-06,,,12980,,1
57,F0001,F001-33,T501-X04,C01-X13,2.00E-06,,,6980,,1
58,F0001,F001-41,B02-X06,T202-X06,2.00E-06,,,6310,,1
59,F0001,F001-42,B02-X07,T202-X07,2.00E-06,,,6430,,1
60,F0001,F001-43,B02-X08,T202-X08,2.00E-06,,,6420,,1
61,F0001,F001-36,B02-X01,T202-X01,2.00E-06,,,6540,,1
62,F0001,F001-44,B02-X09,T202-X09,2.00E-06,,,6510,,1
63,F0001,F001-28,T501-X01,C01-X08,2.00E-06,,,6840,,1
64,F0001,F001-27,T501-X06G,C01-X07,2.00E-06,,,7240,,1
65,F0001,F001-32,T501-X03,C01-X12,2.00E-06,,,6790,,1
66,F0001,F001-35,T401-X01,C01-X15,2.00E-06,,,15770,,1
67,F0001,F001-31,T501-X08,C01-X11,2.00E-06,,,7180,,1
68,F0001,F001-37,B02-X02,T202-X02,2.00E-06,,,6440,,1
69,F0001,F001-81,D01-X11,T203-X11,2.00E-06,,,15630,,1
