event,episode,gradient_step,optimizer_steps,stage,stage_boundary_step,instance_time_limit,instance_node_limit,loss,td_error,gradient_norm,epsilon,reward,node_reward,lp_reward,total_reward,reward_identity_ok,episode_nodes,episode_solving_time,validation_nodes,validation_time,mean_pdi,mean_final_gap,mean_par2,mean_solved,mean_lp,pdi,final_gap,par2,first_solution_time,solved,lp_iterations,bootstrap_target_used,trainer_truncated,replay_size,replay_medium_count,replay_large_count,replay_medium_bytes,replay_large_bytes,replay_evictions_by_count,replay_evictions_by_bytes,medium_samples,large_samples,per_weight_min,per_weight_max,q_value_mean,q_value_std,selected_candidate_rank,forward_time,cpu_memory_mb,gpu_memory_mb,status,instance
normalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62d8ce546167a50d23c79389609a91d88eae351a7f83d76f8f11284eaa31cc24,/data/hanchengcheng/hcc_1/du/cable_harness_prim_gcnn/results/probes/shared_normalization.json
mix_16_0,0,1,1,A,,60.0,100,2.521772861480713,3.021772861480713,6.319155216217041,1.0,,,,,,,,,,,,,,,,,,,,,16,,16,16,0,158641036,0,0,0,16,0,1.0,1.0,-0.02147773467004299,0.019602645188570023,475.0,0.6584850400686264,1838.4921875,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,2,2,A,,60.0,100,1.9969384670257568,2.921985149383545,6.5140204429626465,1.0,,,,,,,,,,,,,,,,,,,,,16,,16,16,0,158641036,0,0,0,16,0,0.7663213014602661,1.0,-0.13320985436439514,0.095511794090271,475.0,0.5834668818861246,1838.68359375,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,3,3,A,,60.0,100,2.2555837631225586,2.7754287719726562,9.375326156616211,1.0,,,,,,,,,,,,,,,,,,,,,16,,16,16,0,158641036,0,0,0,16,0,0.9839396476745605,1.0,-0.2906889319419861,0.11035225540399551,475.0,0.5968772377818823,1838.68359375,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,4,4,A,,60.0,100,2.195405960083008,2.7428178787231445,6.835474014282227,1.0,,,,,,,,,,,,,,,,,,,,,16,,16,16,0,158641036,0,0,0,16,0,0.9684343934059143,1.0,-0.3144112527370453,0.23724451661109924,475.0,0.6088733933866024,1838.68359375,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,5,5,A,,60.0,100,1.6239585876464844,2.5451698303222656,7.203368663787842,0.9984166666666666,,,,,,,,,,,,,,,,,,,,,16,,17,17,0,168599792,0,0,0,16,0,0.7698224782943726,1.0,-0.537315845489502,0.279453843832016,345.0,0.4062906429171562,1864.7734375,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,6,6,A,,60.0,100,2.004631996154785,2.626873016357422,5.776793479919434,0.9984166666666666,,,,,,,,,,,,,,,,,,,,,16,,17,17,0,168599792,0,0,0,16,0,0.9290538430213928,1.0,-0.43751442432403564,0.39842817187309265,345.0,0.40726068429648876,1864.80859375,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,7,7,A,,60.0,100,1.901526689529419,2.5471243858337402,5.986937522888184,0.9984166666666666,,,,,,,,,,,,,,,,,,,,,16,,17,17,0,168599792,0,0,0,16,0,0.9095635414123535,1.0,-0.5260521173477173,0.4309151768684387,345.0,0.4064154736697674,1864.80859375,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,8,8,A,,60.0,100,1.5679383277893066,2.1887998580932617,9.537450790405273,0.9984166666666666,,,,,,,,,,,,,,,,,,,,,16,,17,17,0,168599792,0,0,0,16,0,0.8872677087783813,1.0,-0.9254531860351562,0.47387129068374634,345.0,0.5698614362627268,1864.80859375,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,9,9,A,,60.0,100,1.4263975620269775,2.0827667713165283,9.414883613586426,0.9968333333333333,,,,,,,,,,,,,,,,,,,,,16,,18,18,0,178458164,0,0,0,16,0,0.8643643260002136,1.0,-1.049343228340149,0.6569693088531494,40.0,0.41678533889353275,1871.2421875,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,10,10,A,,60.0,100,1.3742015361785889,2.090451240539551,8.404358863830566,0.9968333333333333,,,,,,,,,,,,,,,,,,,,,16,,18,18,0,178458164,0,0,0,16,0,0.8203747868537903,1.0,-1.0350614786148071,0.6414209008216858,40.0,0.40442753955721855,1871.25,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,11,11,A,,60.0,100,1.1857261657714844,1.9373669624328613,8.608282089233398,0.9968333333333333,,,,,,,,,,,,,,,,,,,,,16,,18,18,0,178458164,0,0,0,16,0,0.7838228344917297,1.0,-1.2134811878204346,0.7970461845397949,40.0,0.40250200778245926,1871.25,67.03369140625,,data/instances/transfer/real_01.cip
mix_16_0,0,12,12,A,,60.0,100,1.0202059745788574,1.7539150714874268,8.97635269165039,0.9968333333333333,,,,,,,,,,,,,,,,,,,,,16,,18,18,0,178458164,0,0,0,16,0,0.7614310383796692,1.0,-1.4138485193252563,0.8792598843574524,40.0,0.40312048979103565,1871.25,67.03369140625,,data/instances/transfer/real_01.cip
