event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,4,1550,2.755228281021118,3.1128382682800293,0.6333,,,,,,225,-33.15867614746094,14.949569702148438,105.0,1510.35546875,64.423828125,,data/instances/train/real_06.cip
train_update,4,1600,2.5319018363952637,2.8269553184509277,0.6219,,,,,,231,-39.615325927734375,15.878684997558594,1.0,1510.35546875,64.423828125,,data/instances/train/real_06.cip
train_update,4,1650,5.508339881896973,5.799193859100342,0.6086,,,,,,238,-37.675323486328125,15.410645484924316,1.0,1510.35546875,64.423828125,,data/instances/train/real_06.cip
train_update,4,1700,1.2327632904052734,1.5502859354019165,0.5972,,,,,,244,-38.72523498535156,15.003445625305176,51.0,1510.35546875,64.423828125,,data/instances/train/real_06.cip
episode,4,1720,4.308889389038086,4.5895676612854,0.5915,-47.0,48,60.864461,,,248,,,45.0,1461.125,64.423828125,timelimit,data/instances/train/real_06.cip
train_update,5,1750,0.13614539802074432,0.41148021817207336,0.5858000000000001,,,,,,250,-33.62715148925781,15.841218948364258,1.0,1476.51953125,64.423828125,,data/instances/train/real_06.cip
train_update,5,1800,5.320215702056885,5.679512023925781,0.5744,,,,,,256,-40.764808654785156,14.772577285766602,1.0,1476.640625,64.423828125,,data/instances/train/real_06.cip
train_update,5,1850,5.358824729919434,5.653427600860596,0.5610999999999999,,,,,,263,-42.34044647216797,15.53857421875,1.0,1476.640625,64.423828125,,data/instances/train/real_06.cip
train_update,5,1900,3.8121652603149414,4.219999313354492,0.5497000000000001,,,,,,269,-38.32199478149414,15.945133209228516,1.0,1482.99609375,64.423828125,,data/instances/train/real_06.cip
train_update,5,1950,1.6836471557617188,1.8856397867202759,0.5383,,,,,,275,-38.05882263183594,15.81240463256836,14.0,1483.0,64.423828125,,data/instances/train/real_06.cip
train_update,5,2000,2.5924272537231445,2.834420919418335,0.5269,,,,,,281,-40.67912292480469,14.475366592407227,1.0,1483.0,64.423828125,,data/instances/train/real_06.cip
episode,5,2048,2.189089298248291,2.5212299823760986,0.5136000000000001,-41.0,42,53.772169,,,289,,,9.512195121951219,1483.0,64.423828125,optimal,data/instances/train/real_06.cip
validation,6,2048,,,,,,,51.0,27.067847,289,,,,,,optimal,data/instances/validation/real_08.cip
train_update,6,2050,6.933901786804199,7.2425642013549805,0.5136000000000001,,,,,,289,-40.76172637939453,15.165194511413574,1.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,6,2100,0.21059152483940125,0.5148352384567261,0.5022,,,,,,294,-39.87126922607422,16.249296188354492,1.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,6,2150,1.842221736907959,2.132519006729126,0.4908,,,,,,300,-42.68836212158203,15.178625106811523,17.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,6,2200,7.083395481109619,7.371757507324219,0.47939999999999994,,,,,,306,-45.38191604614258,15.864590644836426,11.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,6,2250,0.28018510341644287,0.5950454473495483,0.46609999999999996,,,,,,313,-44.64404296875,13.789573669433594,1.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,6,2300,3.887073516845703,4.278164863586426,0.4547000000000001,,,,,,319,-50.26852798461914,15.383698463439941,1.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,6,2350,2.1714158058166504,2.486806869506836,0.4433,,,,,,325,-44.21753692626953,16.083681106567383,76.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
episode,6,2376,1.9970613718032837,2.3235981464385986,0.4357000000000001,-41.0,42,60.765583,,,330,,,15.317073170731707,1560.3359375,64.423828125,timelimit,data/instances/train/real_06.cip
episode,7,2376,1.9970613718032837,2.3235981464385986,0.4357000000000001,0.0,1,14.936594,,,330,,,0.0,1560.3359375,64.423828125,optimal,data/instances/train/real_06.cip
train_update,8,2400,1.9302067756652832,2.2450966835021973,0.43190000000000006,,,,,,331,-45.382293701171875,15.904999732971191,1.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,8,2450,2.2017245292663574,2.5227861404418945,0.4186000000000001,,,,,,338,-44.2750244140625,15.588994026184082,166.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,8,2500,3.272549629211426,3.60817551612854,0.4072,,,,,,344,-46.333457946777344,14.583785057067871,2.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,8,2550,2.3364369869232178,2.7081704139709473,0.39580000000000004,,,,,,350,-49.44470977783203,16.216054916381836,105.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,8,2600,1.7913129329681396,2.141963005065918,0.38439999999999996,,,,,,356,-47.062652587890625,17.943443298339844,1.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
train_update,8,2650,5.378767490386963,5.758546829223633,0.3711,,,,,,363,-50.31951141357422,13.0094633102417,1.0,1560.3359375,64.423828125,,data/instances/train/real_06.cip
episode,8,2696,6.231128692626953,6.556509971618652,0.3597,-39.0,40,60.273936,,,370,,,40.4,1521.73828125,64.423828125,timelimit,data/instances/train/real_06.cip
train_update,9,2700,3.5232908725738525,3.8391337394714355,0.3597,,,,,,370,-48.87594985961914,15.177623748779297,12.0,1521.765625,64.423828125,,data/instances/train/real_06.cip
train_update,9,2750,3.896951198577881,4.275903224945068,0.34829999999999994,,,,,,375,-49.10430908203125,17.78564453125,1.0,1521.765625,64.423828125,,data/instances/train/real_06.cip
