protocol,method,paired_runs,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses,jointly_solved,geomean_node_speedup_joint
production-scip,default,10,1.0,1.0,1.0,0,10,0,10,1.0
production-scip,rl-gcnn,10,0.6754410006281045,0.5172331081231878,0.8813959055637681,1,0,9,10,0.7421079682775735
production-scip,rl-gcnn-prim-gated,10,0.6196210025442934,0.44288332146494513,0.8391621214719442,1,0,9,10,0.7201357055376827
production-scip,rl-gcnn-prim-l025,10,0.6700556478066347,0.5122045780902539,0.8509324218303828,1,0,9,10,0.8256160913547637
production-scip,rl-gcnn-prim-l05,10,0.7105116788065464,0.46952404394533304,1.0595416796561363,2,0,8,10,0.9103136165749819
production-scip,rl-gcnn-prim-l10,10,0.6990609596915492,0.41318102068417095,1.0722373267559349,2,0,8,10,0.9638219156138881
